"ID","lon","lat","depth","study","BIO","MAT","RAD","MAP","DRY","PET","PH","CEC","BLD","ORC","CLY","SLT","SND","AWC","CWC","NPP"
"1030.TVF.Control.Loc2.D10.Rep1",-145.8,64.33,0.055,"EMP",6,-2.96424984931946,8096.25,461.884124755859,6.9820742637644,0.940252513670085,5.5,29.5,891.5,153.5,10,55.5,35,61.8190345192204,0.30259948527831,337.7
"1030.TVF.Control.Loc3.D10.Rep4",-145.8,64.33,0.055,"EMP",6,-2.96424984931946,8096.25,461.884124755859,6.9820742637644,0.940252513670085,5.5,29.5,891.5,153.5,10,55.5,35,61.8190345192204,0.30259948527831,337.7
"1030.TVF.Control.Loc2.D10.Rep2",-145.8,64.33,0.055,"EMP",6,-2.96424984931946,8096.25,461.884124755859,6.9820742637644,0.940252513670085,5.5,29.5,891.5,153.5,10,55.5,35,61.8190345192204,0.30259948527831,337.7
"1030.TVF.Control.Loc3.D10.Rep5",-145.8,64.33,0.055,"EMP",6,-2.96424984931946,8096.25,461.884124755859,6.9820742637644,0.940252513670085,5.5,29.5,891.5,153.5,10,55.5,35,61.8190345192204,0.30259948527831,337.7
"1030.TVF.Control.Loc2.D10.Rep3",-145.8,64.33,0.015,"EMP",6,-2.96424984931946,8096.25,461.884124755859,6.9820742637644,0.940252513670085,5.5,38,917.5,220,10,56,34.5,61.3602411497717,0.300306032355105,337.7
"1030.TVF.Control.Loc4.D10.Rep1",-145.8,64.33,0.015,"EMP",6,-2.96424984931946,8096.25,461.884124755859,6.9820742637644,0.940252513670085,5.5,38,917.5,220,10,56,34.5,61.3602411497717,0.300306032355105,337.7
"1030.TVF.Control.Loc1.D10.Rep1",-145.8,64.33,0.055,"EMP",6,-2.96424984931946,8096.25,461.884124755859,6.9820742637644,0.940252513670085,5.5,29.5,891.5,153.5,10,55.5,35,61.8190345192204,0.30259948527831,337.7
"1030.TVF.Control.Loc2.D10.Rep4",-145.8,64.33,0.055,"EMP",6,-2.96424984931946,8096.25,461.884124755859,6.9820742637644,0.940252513670085,5.5,29.5,891.5,153.5,10,55.5,35,61.8190345192204,0.30259948527831,337.7
"1030.TVF.Control.Loc4.D10.Rep2",-145.8,64.33,0.055,"EMP",6,-2.96424984931946,8096.25,461.884124755859,6.9820742637644,0.940252513670085,5.5,29.5,891.5,153.5,10,55.5,35,61.8190345192204,0.30259948527831,337.7
"1030.TVF.Control.Loc1.D10.Rep2",-145.8,64.33,0.055,"EMP",6,-2.96424984931946,8096.25,461.884124755859,6.9820742637644,0.940252513670085,5.5,29.5,891.5,153.5,10,55.5,35,61.8190345192204,0.30259948527831,337.7
"1030.TVF.Control.Loc2.D10.Rep5",-145.8,64.33,0.055,"EMP",6,-2.96424984931946,8096.25,461.884124755859,6.9820742637644,0.940252513670085,5.5,29.5,891.5,153.5,10,55.5,35,61.8190345192204,0.30259948527831,337.7
"1030.TVF.Control.Loc4.D10.Rep3",-145.8,64.33,0.055,"EMP",6,-2.96424984931946,8096.25,461.884124755859,6.9820742637644,0.940252513670085,5.5,29.5,891.5,153.5,10,55.5,35,61.8190345192204,0.30259948527831,337.7
"1030.TVF.Control.Loc1.D10.Rep3",-145.8,64.33,0.055,"EMP",6,-2.96424984931946,8096.25,461.884124755859,6.9820742637644,0.940252513670085,5.5,29.5,891.5,153.5,10,55.5,35,61.8190345192204,0.30259948527831,337.7
