ID,D_2,D_1,D0,D1,D2,R1,R2,R3,A1,A2,A3,lon,lat,depth,study,BIO,MAT,RAD,MAP,DRY,PET,PH,CEC,BLD,ORC,CLY,SLT,SND,AWC,CWC,NPP
1030.TVF.Control.Loc4.D10.Rep4,2334.12783081195,1424.19089245448,489.15,61.6329961722754,17.9137414620631,146.59,285.81,419.26,342.56,203.34,69.89,-145.8,64.33,0.055,EMP,6,-2.96424984931946,8096.25,461.884124755859,6.9820742637644,0.940252513670085,5.5,29.5,891.5,153.5,10,55.5,35,61.8190345192204,0.30259948527831,337.7
1030.TVF.Control.Loc1.D10.Rep4,2078.78532055635,1204.72440372028,393.69,63.9687427699496,16.2176552087108,74.13,180.35,318.43,319.56,213.34,75.26,-145.8,64.33,0.055,EMP,6,-2.96424984931946,8096.25,461.884124755859,6.9820742637644,0.940252513670085,5.5,29.5,891.5,153.5,10,55.5,35,61.8190345192204,0.30259948527831,337.7
1030.TVF.Control.Loc3.D10.Rep2,2904.47433688738,1975.90696452541,909.54,228.627184220236,84.1781628526379,264.16,541.58,804.14,645.38,367.96,105.4,-145.8,64.33,0.055,EMP,6,-2.96424984931946,8096.25,461.884124755859,6.9820742637644,0.940252513670085,5.5,29.5,891.5,153.5,10,55.5,35,61.8190345192204,0.30259948527831,337.7
1030.TVF.Control.Loc4.D10.Rep5,2352.47317690284,1450.52601865409,526.92,82.9743108487956,24.8119487122815,194.13,355.28,468.72,332.79,171.64,58.2,-145.8,64.33,0.055,EMP,6,-2.96424984931946,8096.25,461.884124755859,6.9820742637644,0.940252513670085,5.5,29.5,891.5,153.5,10,55.5,35,61.8190345192204,0.30259948527831,337.7
1030.TVF.Control.Loc1.D10.Rep5,2539.23593421994,1608.39430057091,621.32,113.859540119813,31.6844607933319,152.19,330.85,521.5,469.13,290.47,99.82,-145.8,64.33,0.055,EMP,6,-2.96424984931946,8096.25,461.884124755859,6.9820742637644,0.940252513670085,5.5,29.5,891.5,153.5,10,55.5,35,61.8190345192204,0.30259948527831,337.7
1030.TVF.Control.Loc3.D10.Rep3,2146.70832954998,1251.48365095365,395.33,65.4992738251639,26.5444207804547,74.93,179.01,313.17,320.4,216.32,82.16,-145.8,64.33,0.055,EMP,6,-2.96424984931946,8096.25,461.884124755859,6.9820742637644,0.940252513670085,5.5,29.5,891.5,153.5,10,55.5,35,61.8190345192204,0.30259948527831,337.7
1030.TVF.Control.Loc5.D10.Rep1,2716.42267718477,1785.96511890239,757.17,133.017713642194,24.3966010367914,161.87,412.51,648.65,595.3,344.66,108.52,-145.8,64.33,0.055,EMP,6,-2.96424984931946,8096.25,461.884124755859,6.9820742637644,0.940252513670085,5.5,29.5,891.5,153.5,10,55.5,35,61.8190345192204,0.30259948527831,337.7
1030.TVF.Control.Loc5.D10.Rep2,2210.14589823005,1306.80884790983,425.05,68.5455008889155,24.0611443438213,109.33,233.77,360.36,315.72,191.28,64.69,-145.8,64.33,0.055,EMP,6,-2.96424984931946,8096.25,461.884124755859,6.9820742637644,0.940252513670085,5.5,29.5,891.5,153.5,10,55.5,35,61.8190345192204,0.30259948527831,337.7
1030.TVF.Control.Loc5.D10.Rep3,2232.59323917357,1323.39463651979,432.11,62.5179137237634,19.9500648627932,87.55,207.66,356.17,344.56,224.45,75.94,-145.8,64.33,0.055,EMP,6,-2.96424984931946,8096.25,461.884124755859,6.9820742637644,0.940252513670085,5.5,29.5,891.5,153.5,10,55.5,35,61.8190345192204,0.30259948527831,337.7
1030.TVF.Control.Loc5.D10.Rep4,2468.77501553292,1545.20256575194,576.48,107.875517609713,38.2567150396862,144.37,316.18,497.02,432.11,260.3,79.46,-145.8,64.33,0.055,EMP,6,-2.96424984931946,8096.25,461.884124755859,6.9820742637644,0.940252513670085,5.5,29.5,891.5,153.5,10,55.5,35,61.8190345192204,0.30259948527831,337.7
1030.TVF.Control.Loc5.D10.Rep5,1847.09579723375,1005.72711778714,274.6,26.4699321153644,6.84392916501963,47.43,108.44,216.55,227.17,166.16,58.05,-145.8,64.33,0.055,EMP,6,-2.96424984931946,8096.25,461.884124755859,6.9820742637644,0.940252513670085,5.5,29.5,891.5,153.5,10,55.5,35,61.8190345192204,0.30259948527831,337.7
1031.CHRA3,2794.83741247384,1866.36909192801,837.75,237.118270160848,100.05699018487,281.05,527.16,751.85,556.7,310.59,85.9,-123.89,45.04,0.075,EMP,5,9.85391712188721,12400.75,2537.25512695312,4.91576413959085,1.91314107464958,4.55,48,946,119,29.5,43,27.5,60.0963024943513,0.291222611759712,891.4
1031.HJDF2,3019.01593128356,2073.46657578777,965.55,257.029441069995,95.3159895762349,214.36,500.66,836.45,751.19,464.89,129.1,-122.19,44.23,0.075,EMP,5,9.13125133514404,13903.8333333333,2372.03393554688,5.50191570881226,2.18703584741038,5.45,40.5,886,108,15.5,40.5,43,61.183807716022,0.294119727407491,719.9
1031.HJDF3,3019.44558022038,2063.63083152838,941.5,246.458983388874,92.3179767936668,254.06,518.11,824.29,687.44,423.39,117.21,-122.16,44.23,0.075,EMP,5,8.27983379364014,13916.1666666667,2372.03393554688,5.50191570881226,2.04150127655032,5.35,40,882,109.5,14.5,41,44.5,61.2772481325093,0.2953574661909,727.4
1031.CHDF1,2883.59491653707,1951.17478397144,887.76,234.313594656652,92.2937811294843,269.93,555.76,795.34,617.83,332,92.42,-123.9,45.05,0.075,EMP,5,9.85391712188721,12400.75,2460.64453125,4.81136496777973,1.91314107464958,4.6,50.5,941.5,129.5,25,42,33.5,60.1822353995649,0.291845719326415,915.8
1031.HJRA2,3062.29694907605,2128.31884246663,1027.82,286.743744752521,107.849409158525,228.23,553.85,902.69,799.59,473.97,125.13,-122.19,44.23,0.075,EMP,5,9.13125133514404,13903.8333333333,2372.03393554688,5.50191570881226,2.18703584741038,5.45,40.5,886,108,15.5,40.5,43,61.183807716022,0.294119727407491,719.9
1031.CHDF2,2831.93689238692,1898.6614269082,853.74,224.682619672851,86.5228900434131,219.86,490.5,749.06,633.88,363.24,104.68,-123.89,45.04,0.075,EMP,5,9.85391712188721,12400.75,2537.25512695312,4.91576413959085,1.91314107464958,4.55,48,946,119,29.5,43,27.5,60.0963024943513,0.291222611759712,891.4
1031.HJRA3,3110.71555993615,2177.55810872234,1062.79,292.522118808951,102.336370836238,277.99,605.89,943.32,784.8,456.9,119.47,-122.16,44.23,0.075,EMP,5,8.27983379364014,13916.1666666667,2372.03393554688,5.50191570881226,2.04150127655032,5.35,40,882,109.5,14.5,41,44.5,61.2772481325093,0.2953574661909,727.4
1031.CHDF3,2611.93425338204,1684.530376337,693.89,172.722644342949,73.7846708853373,175.82,398.34,604.74,518.07,295.55,89.15,-123.89,45.04,0.075,EMP,5,9.85391712188721,12400.75,2537.25512695312,4.91576413959085,1.91314107464958,4.55,48,946,119,29.5,43,27.5,60.0963024943513,0.291222611759712,891.4
1031.HJDF.1,3010.95684036785,2054.51389291986,910.2,168.947900446883,45.948506445001,206.62,474.95,787.9,703.58,435.25,122.3,-122.19,44.23,0.075,EMP,5,9.13125133514404,13903.8333333333,2372.03393554688,5.50191570881226,2.18703584741038,5.45,40.5,886,108,15.5,40.5,43,61.183807716022,0.294119727407491,719.9
1031.CHRA2,2745.88262434702,1821.3192893136,818.02,232.915388890376,92.14510596388,234.72,493.58,732.28,583.3,324.44,85.74,-123.89,45.05,0.075,EMP,5,9.85391712188721,12400.75,2537.25512695312,4.91576413959085,1.91314107464958,4.7,50.5,953.5,127.5,27.5,44.5,28,59.942506444706,0.29045400132013,902.1
1031.HJRA.1,3172.50748421386,2224.93198087609,1069.86,276.387822786455,99.2275750403077,263.42,590.77,940.76,806.44,479.09,129.1,-122.19,44.23,0.075,EMP,5,9.13125133514404,13903.8333333333,2372.03393554688,5.50191570881226,2.18703584741038,5.45,40.5,886,108,15.5,40.5,43,61.183807716022,0.294119727407491,719.9
1034.ZKA1,3113.94935180273,2211.25301548247,1151.6,347.192304189665,96.3441744301773,414.22,785.51,1057.45,737.38,366.09,94.15,-20.53167,74.48202,0.1,EMP,11,-10.3061666488647,7543.25,323.407440185547,10.1753764393268,0.275528646451266,5.9,45.5,1049.5,153,17,37,46,57.4653489339814,0.284536770776124,52
1034.ZKG1,3307.36707056852,2389.758651221,1269.42,412.597062037933,141.274060042611,463.59,891.43,1182.73,805.83,377.99,86.69,-20.54588,74.46254,0.1,EMP,11,-10.3061666488647,7543.25,323.407440185547,10.1753764393268,0.275528646451266,5.85,49.5,954,155.5,19.5,37.5,44,59.7917625928548,0.296168310254006,31.7
1034.ZKH2,728.018099904844,312.055940705878,128.51,77.806164407291,54.8663905384187,20.83,75.89,112.53,107.68,52.62,15.98,-20.54638,74.46262,0.075,EMP,11,-10.3061666488647,7543.25,323.407440185547,10.1753764393268,0.275528646451266,5.85,49.5,954,155.5,19.5,37.5,44,59.7917625928548,0.296168310254006,31.7
10360.YUN3153.3,1200.29441965314,581.049362242669,169.56,41.9681299501179,18.6728275639451,53.38,123.12,158.56,116.18,46.44,11,-68.85686,-24.23398,0.02,EMP,10,9.44041633605957,21588.5,10.5656414031982,384.472222222222,2.9975394823182,8.2,11.5,1272,12.5,11.5,23.5,65,49.78831447144,0.0024296219440663,121.2
10360.YUN3153.2,1392.32964399009,708.766195029216,215.73,53.9935792781276,21.8563376768372,80.19,153.05,204.81,135.54,62.68,10.92,-68.85686,-24.23398,0.02,EMP,10,9.44041633605957,21588.5,10.5656414031982,384.472222222222,2.9975394823182,8.2,11.5,1272,12.5,11.5,23.5,65,49.78831447144,0.0024296219440663,121.2
10360.BAQ2420.1.1,2934.18792590848,2071.82634477956,1089.65,334.933834556796,112.417751039396,646.61,904.86,1048.26,443.04,184.79,41.39,-68.3532,-22.91801,0.02,EMP,10,13.6716661453247,21835,15.8266668319702,446.645161290323,4.03462258342589,8.5,28,1262,11,24.5,21,54,50.5346057095181,0.0002019314482318,63.6
