D_2,D_1,D0,D1,D2,R1,R2,R3,A1,A2,A3,lon,lat,depth,MAT,RAD,MAP,DRY,PET,PH,CEC,BLD,ORC,CLY,SLT,SND,AWC,CWC,NPP,std,BIO,study
2926.12177277193,2045.61543344416,1046.5,311.353821415407,83.8992116140367,261.14,607.22,946.09,785.36,439.28,100.41,-68.584717,-54.84525,0.025,4.61944437026978,8702.41666666667,502.534912109375,4.15091140313692,0.868911251267119,5.7,40,830.5,189,18,32,49.5,62.2524608838021,0.307676347186658,586,0,Temperate Forests,EMBL
2104.61325289307,1277.95629330291,484.95,94.1783904365234,36.5150460793555,120.09,275.51,432.9,364.86,209.44,52.05,-68.480483,-54.814983,0.025,2.90391659736633,7878.91666666667,469.639526367188,4.43802382002647,0.649884734778366,5.8,42.5,746.5,201.5,19,35.5,46,63.9685547011697,0.316971534824113,589.8,0,Temperate Forests,EMBL
2722.83182398537,1834.23933412318,865.75,241.215300919375,69.4741093487472,160.555,427.16,732.73,705.195,438.59,133.02,-67.448405,-54.4803,0.025,4.8585000038147,9259.25,371.45849609375,4.68967052537845,0.965584718388925,5.75,43.75,817.25,188.25,21,37,42.25,62.7305913389176,0.309157213589075,721.2,171.699668607717,Temperate Forests,EMBL
3241.87793724325,2375.60412060939,1331.97,426.918982317437,125.000398535713,341.58,815.18,1202.69,990.39,516.79,129.28,-72.780067,-50.445767,0.025,6.0629997253418,9967.08333333333,459.559753417969,6.68280871670702,1.19041777181796,6.05,41,836,195.5,19.5,30,50.5,62.1496777057183,0.302894021351976,538.4,0,Temperate Forests,EMBL
3207.01468582869,2333.96856408323,1285.15,399.042252412615,100.766576705339,332.39,807.15,1168.01,952.76,478,117.14,-72.881183,-49.376367,0.025,6.92600011825562,10391.5833333333,697.994812011719,3.94130157379838,1.32849736888252,6.15,34.5,984.5,106.5,17,28,54.5,58.6589344268625,0.288105124091046,214.1,0,Temperate Forests,EMBL
3051.66162508391,2196.4440613698,1200.43,389.25292780991,120.402010710942,272.46,697.56,1070.1,927.97,502.87,130.33,-71.7265,-44.83255,0.025,4.65758371353149,11549.9166666667,628.172546386719,5.58846153846154,1.2158163357967,5.05,44.5,712,219,19,35.5,45.5,64.5837725442354,0.316195303226961,656.8,0,Temperate Forests,EMBL
2284.35161166223,1475.79739794676,629.79,128.781251673935,43.6980948192052,160.34,371.2,555.94,469.45,258.59,73.85,168.276258,-44.716444,0.025,8.49066638946533,13161.75,3477.73876953125,2.97586790855207,1.83379557803156,4.9,46.5,747,216,16.5,33.5,50.5,63.8358512034349,0.313768509245183,760.7,0,Montane Grasslands,EMBL
2581.66905759118,1756.65719708761,873.03,269.378572950802,99.4668768917939,257.26,532.77,786.8,615.77,340.26,86.23,-73.096796,-44.07439,0.025,8.86893939971924,10468.25,2315.92333984375,2.81343984962406,1.4938501683843,4.75,49,709,229,20.5,32.5,47,64.6056266383521,0.318852498696243,715.9,0,Temperate Forests,EMBL
2180.29664548114,1397.23303013939,619.74,176.20084031673,73.4612440512177,200.2,400.61,551.02,419.54,219.13,68.72,172.2229,-43.1805,0.025,9.6584997177124,13767,1099.78771972656,5.29685157421289,2.09077570465043,5.25,36,789,148.5,19.5,27.5,53,62.9075840580268,0.303656084474998,1400.9,0,Temperate Grasslands,EMBL
2492.76919538898,1708.13487040913,868.27,250.207671838932,72.4000602209745,217.84,484.99,759.76,650.43,383.28,108.51,146.65,-43.093,0.025,8.99200057983398,13276.5833333333,1583.75659179688,3.83938730853392,1.86368870977311,5.05,45,791,184,23,27.5,49.5,63.0870979206427,0.308360614379603,1071,0,Temperate Forests,EMBL
2886.05833937013,2073.35103109952,1164.29,416.829695817441,116.662123754895,269.63,675.16,1033.53,894.66,489.13,130.76,146.367,-42.833,0.025,8.6694164276123,13397.75,1956.96838378906,3.22183708838821,1.85515452900228,5.05,49,794,200,22,31.5,46.5,63.0928736376695,0.309543628845692,944.7,0,Temperate Forests,EMBL
2878.61484701887,1987.29469853646,980.97,276.794843114449,74.4912189803706,167.57,514.13,859.96,813.4,466.84,121.01,-71.47167,-42.78133,0.025,5.9344162940979,13138.9166666667,649.955139160156,6.79551122194514,1.572060537113,5.9,36,725.5,148.5,22,33.5,44,64.2889133004921,0.310937180901441,864.7,0,Temperate Forests,EMBL
3124.3760544008,2258.50207220336,1250.18,455.631127694686,153.438032920814,314.49,726.81,1115.15,935.69,523.37,135.03,172.193165,-41.766539,0.025,10.2099161148071,14038.5833333333,2537.470703125,3.83042505592841,2.23733086236366,5.55,44,746.5,163.5,20,33,47,63.8739916051667,0.310913990342858,1591.2,0,Temperate Forests,EMBL
3021.73490099374,2157.27920862006,1162.23,381.566437439035,105.943632901936,289.55,708.36,1050.15,872.68,453.87,112.08,-71.286967,-41.260033,0.025,5.11491727828979,13266.4166666667,782.311279296875,7.05364238410596,1.49084940594329,5.9,42.5,795,135,21,32.5,46.5,62.9552380535819,0.304433987683668,802.1,0,Temperate Forests,EMBL
2751.83261830002,1871.65526218329,920.56,279.703981562721,87.4861704999678,209.13,519.77,818.61,711.43,400.79,101.95,-71.8228,-41.1976,0.025,6.0078330039978,12995.5833333333,1229.12097167969,3.66567754698319,1.52134372202549,5.35,36,776.5,205.5,15.5,32.5,52,63.2256243486688,0.310600267482389,754.9,0,Temperate Forests,EMBL
