sample_name	experiment_accession
10360.YUN3153.3	ERX1787294
10360.YUN3153.2	ERX1787293
10360.YUN3153.1	ERX1787292
10360.BAQ2420.1.1	ERX1787248
10360.BAQ3473.1	ERX1787262
10360.BAQ3473.2	ERX1787263
10360.BAQ3473.3	ERX1787264
10360.BAQ1370.1.3	ERX1787244
10360.BAQ4166.1.3	ERX1787267
10360.BAQ1552.2	ERX1787247
10360.BAQ2420.1.3	ERX1787250
10360.YUN1005.3	ERX1787278
10360.YUN1005.2	ERX1787277
10360.YUN3259.1.3	ERX1787299
10360.YUN3533.1.1	ERX1787308
10360.YUN3533.1.2	ERX1787309
10360.YUN3533.1.3	ERX1787310
10360.YUN3259.2	ERX1787300
10360.YUN3259.3	ERX1787301
10360.BAQ1370.1.2	None
10360.YUN3856.3	ERX1787317
10360.YUN3856.2	ERX1787316
10360.YUN1242.2	ERX1787280
10360.YUN1242.3	ERX1787281
10360.BAQ2687.1	ERX1787256
10360.BAQ2420.3	ERX1787252
10360.BAQ2420.2	ERX1787251
10360.BAQ4166.1.2	ERX1787266
10360.BAQ2687.2	ERX1787257
10360.BAQ2838.3	ERX1787261
10360.BAQ1370.3	ERX1787245
10360.YUN3008.1.3	ERX1787289
10360.YUN3008.1.2	ERX1787288
10360.YUN3008.1.1	ERX1787287
10360.YUN3008.2	ERX1787290
10360.YUN3008.3	ERX1787291
10360.BAQ1552.1.1	ERX1787246
10360.YUN3259.1.2	ERX1787298
10360.BAQ4697.2	ERX1787271
10360.YUN3259.1.1	ERX1787297
10360.YUN2029.2	ERX1787285
10360.YUN2029.3	ERX1787286
10360.BAQ895.2	ERX1787273
10360.YUN2029.1	ERX1787284
10360.BAQ2687.3	ERX1787258
10360.BAQ4697.1	ERX1787270
10360.YUN3533.3	ERX1787312
10360.YUN3533.2	ERX1787311
10360.BAQ2838.1	ERX1787259
10360.BAQ2838.2	ERX1787260
10360.BAQ4166.3	ERX1787269
10360.YUN3856.1.2	ERX1787314
10360.YUN3856.1.3	ERX1787315
10360.BAQ4166.1.1	ERX1787265
10360.YUN3856.1.1	ERX1787313
10360.BAQ4166.2	ERX1787268
10360.YUN1005.1.1	ERX1787275
10360.YUN1005.1.3	ERX1787276
10360.BAQ2420.1.2	ERX1787249
10360.YUN3428.1	ERX1787305
10360.YUN3428.2	ERX1787306
10360.YUN3428.3	ERX1787307
10360.BAQ2462.1	ERX1787253
10360.BAQ4697.3	ERX1787272
10360.BAQ2462.3	ERX1787255
10360.BAQ2462.2	ERX1787254
10360.YUN1609.1	ERX1787282
10360.BAQ895.3	ERX1787274
10360.YUN1609.3	ERX1787283
10360.YUN3184.2	ERX1787296
10360.YUN3184.1	ERX1787295
10360.YUN1242.1	ERX1787279
10360.YUN3346.3	ERX1787304
10360.YUN3346.2	ERX1787303
10360.YUN3346.1	ERX1787302
