sample_name	experiment_accession
1716.McG.PAPrS35	ERX1906704
1716.McG.PAPrS34	ERX1906703
1716.McG.PAPrS37	ERX1906706
1716.McG.PAPrS36	ERX1906705
1716.McG.PAPrS31	ERX1906700
1716.McG.PAPrS30	ERX1906699
1716.McG.PAPrS33	ERX1906702
1716.McG.PAPrS32	ERX1906701
1716.McG.PAPrS39	ERX1906708
1716.McG.PAPrS38	ERX1906707
1716.McG.PAPrS19	ERX1906688
1716.McG.PAPrS18	ERX1906687
1716.McG.PAPrS17	ERX1906686
1716.McG.PAPrS16	ERX1906685
1716.McG.PAPrS15	ERX1906684
1716.McG.PAPrS14	ERX1906683
1716.McG.PAPrS13	ERX1906682
1716.McG.PAPrS12	ERX1906681
1716.McG.PAPrS11	ERX1906680
1716.McG.PAPrS10	ERX1906679
1716.McG.PAPrS22	ERX1906691
1716.McG.PAPrS23	ERX1906692
1716.McG.PAPrS20	ERX1906689
1716.McG.PAPrS21	ERX1906690
1716.McG.PAPrS26	ERX1906695
1716.McG.PAPrS27	ERX1906696
1716.McG.PAPrS24	ERX1906693
1716.McG.PAPrS25	ERX1906694
1716.McG.PAPrS28	ERX1906697
1716.McG.PAPrS29	ERX1906698
1716.McG.PAPrS40	ERX1906709
1716.McG.PAPrS41	ERX1906710
1716.McG.PAPrS42	ERX1906711
1716.McG.PAPrS43	ERX1906712
1716.McG.PAPrS08	ERX1906677
1716.McG.PAPrS09	ERX1906678
1716.McG.PAPrS04	ERX1906673
1716.McG.PAPrS05	ERX1906674
1716.McG.PAPrS06	ERX1906675
1716.McG.PAPrS07	ERX1906676
1716.McG.PAPrS01	ERX1906670
1716.McG.PAPrS02	ERX1906671
1716.McG.PAPrS03	ERX1906672
