sample_name	experiment_accession
1289.KH62	ERX1652654
1289.KH63	ERX1652655
1289.KH14	ERX1652601
1289.KH64	ERX1652656
1289.KH65	ERX1652657
1289.KH60	ERX1652652
1289.KH61	ERX1652653
1289.KH48	ERX1652638
1289.KH49	ERX1652639
1289.KH46	ERX1652636
1289.KH47	ERX1652637
1289.KH44	ERX1652634
1289.KH45	ERX1652635
1289.KH42	ERX1652632
1289.KH43	ERX1652633
1289.KH40	ERX1652630
1289.KH41	ERX1652631
1289.KH23	ERX1652611
1289.KH24	ERX1652612
1289.KH6	ERX1652651
1289.KH21	ERX1652609
1289.KH17	ERX1652604
1289.KH25	ERX1652613
1289.KH26	ERX1652614
1289.KH27	ERX1652615
1289.KH20	ERX1652608
1289.KH1	ERX1652596
1289.KH11	ERX1652598
1289.KH3	ERX1652618
1289.KH2	ERX1652607
1289.KH5	ERX1652640
1289.KH4	ERX1652629
1289.KH7	ERX1652658
1289.KH10	ERX1652597
1289.KH9	ERX1652660
1289.KH8	ERX1652659
1289.KH13	ERX1652600
1289.KH28	ERX1652616
1289.KH12	ERX1652599
1289.KH59	ERX1652650
1289.KH58	ERX1652649
1289.KH55	ERX1652646
1289.KH54	ERX1652645
1289.KH57	ERX1652648
1289.KH56	ERX1652647
1289.KH51	ERX1652642
1289.KH50	ERX1652641
1289.KH53	ERX1652644
1289.KH52	ERX1652643
1289.KH37	ERX1652626
1289.KH36	ERX1652625
1289.KH35	ERX1652624
1289.KH34	ERX1652623
1289.KH33	ERX1652622
1289.KH32	ERX1652621
1289.KH31	ERX1652620
1289.KH30	ERX1652619
1289.KH19	ERX1652606
1289.KH18	ERX1652605
1289.KH16	ERX1652603
1289.KH29	ERX1652617
1289.KH39	ERX1652628
1289.KH38	ERX1652627
1289.KH15	ERX1652602
1289.KH22	ERX1652610
