sample_name	experiment_accession
1033.Antarctic.soil.5A.	ERX1617465
1033.Antarctic.soil.5C.1.7	ERX1617467
1033.Antarctic.soil.9A.2.0	ERX1617469
1033.Antarctic.soil.4A.	ERX1617462
1033.Antarctic.soil.3A.	ERX1617459
1033.Antarctic.soil.3B.	ERX1617460
1033.Antarctic.soil.9B	ERX1617470
1033.Antarctic.soil.3B.7.2	ERX1617461
1033.Antarctic.soil.9A.	ERX1617468
1033.Antarctic.soil.10A.	ERX1617456
1033.Antarctic.soil.10A.2.1	ERX1617457
1033.Antarctic.soil.4C.6.4	ERX1617464
1033.Antarctic.soil.10B	ERX1617458
1033.Antarctic.soil.5B	ERX1617466
1033.Antarctic.soil.4B	ERX1617463
