sample_name	experiment_accession
808.AK.19.18a.s.4.1.sequences	ERX1826187
808.AK.19.12a.s.4.1.sequences.r	ERX1826185
808.HI.20.11a.s.4.1.sequences.r	ERX1826192
808.HI.20.15a.s.4.1.sequences	ERX1826193
808.FL.3.13a.s.4.1.sequences	ERX1826188
808.FL.3.16a.s.4.1.sequences	ERX1826190
808.HI.20.18a.s.4.1.sequences	ERX1826194
808.UT.15.42.s.4.1.sequences.r	ERX1826196
808.AK.19.15a.s.4.1.sequences	ERX1826186
808.FL.3.14a.s.4.1.sequences	ERX1826189
808.HI.20.11a.s.4.1.sequences	ERX1826191
808.AK.19.12a.s.4.1.sequences	ERX1826184
808.UT.15.44.s.4.1.sequences	ERX1826197
808.UT.15.45.s.4.1.sequences	ERX1826198
808.UT.15.42.s.4.1.sequences	ERX1826195
