sample_name	experiment_accession
1642.MS00159	ERX1661835
1642.MS00158	ERX1661834
1642.MS00401	ERX1662077
1642.MS00400	ERX1662076
1642.MS00403	ERX1662079
1642.MS00402	ERX1662078
1642.MS00405	ERX1662081
1642.MS00404	ERX1662080
1642.MS00407	ERX1662083
1642.MS00406	ERX1662082
1642.MS00256	ERX1661932
1642.MS00257	ERX1661933
1642.MS00258	ERX1661934
1642.MS00034	ERX1661710
1642.MS00278	ERX1661954
1642.MS00279	ERX1661955
1642.MS00276	ERX1661952
1642.MS00277	ERX1661953
1642.MS00274	ERX1661950
1642.MS00275	ERX1661951
1642.MS00272	ERX1661948
1642.MS00273	ERX1661949
1642.MS00270	ERX1661946
1642.MS00271	ERX1661947
1642.MS00640	ERX1662316
1642.MS00035	ERX1661711
1642.MS00036	ERX1661712
1642.MS00613	ERX1662289
1642.MS00618	ERX1662294
1642.MS00619	ERX1662295
1642.MS00469	ERX1662145
1642.MS00610	ERX1662286
1642.MS00611	ERX1662287
1642.MS00612	ERX1662288
1642.MS00468	ERX1662144
1642.MS00614	ERX1662290
1642.MS00615	ERX1662291
1642.MS00616	ERX1662292
1642.MS00617	ERX1662293
1642.MS00467	ERX1662143
1642.MS00466	ERX1662142
1642.MS00430	ERX1662106
1642.MS00431	ERX1662107
1642.MS00432	ERX1662108
1642.MS00433	ERX1662109
1642.MS00434	ERX1662110
1642.MS00435	ERX1662111
1642.MS00436	ERX1662112
1642.MS00437	ERX1662113
1642.MS00438	ERX1662114
1642.MS00439	ERX1662115
1642.MS00128	ERX1661804
1642.MS00129	ERX1661805
1642.MS00032	ERX1661708
1642.MS00056	ERX1661732
1642.MS00057	ERX1661733
1642.MS00054	ERX1661730
1642.MS00055	ERX1661731
1642.MS00052	ERX1661728
1642.MS00053	ERX1661729
1642.MS00050	ERX1661726
1642.MS00051	ERX1661727
1642.MS00355	ERX1662031
1642.MS00354	ERX1662030
1642.MS00357	ERX1662033
1642.MS00356	ERX1662032
1642.MS00351	ERX1662027
1642.MS00350	ERX1662026
1642.MS00058	ERX1661734
1642.MS00059	ERX1661735
1642.MS00225	ERX1661901
1642.MS00224	ERX1661900
1642.MS00227	ERX1661903
1642.MS00226	ERX1661902
1642.MS00548	ERX1662224
1642.MS00549	ERX1662225
1642.MS00223	ERX1661899
1642.MS00222	ERX1661898
1642.MS00544	ERX1662220
1642.MS00545	ERX1662221
1642.MS00546	ERX1662222
1642.MS00547	ERX1662223
1642.MS00540	ERX1662216
1642.MS00541	ERX1662217
1642.MS00542	ERX1662218
1642.MS00543	ERX1662219
1642.MS00121	ERX1661797
1642.MS00126	ERX1661802
1642.MS00127	ERX1661803
1642.MS00124	ERX1661800
1642.MS00125	ERX1661801
1642.MS00539	ERX1662215
1642.MS00538	ERX1662214
1642.MS00531	ERX1662207
1642.MS00530	ERX1662206
1642.MS00533	ERX1662209
1642.MS00532	ERX1662208
1642.MS00535	ERX1662211
1642.MS00534	ERX1662210
1642.MS00537	ERX1662213
1642.MS00536	ERX1662212
1642.MS00471	ERX1662147
1642.MS00157	ERX1661833
1642.MS00156	ERX1661832
1642.MS00012	ERX1661688
1642.MS00241	ERX1661917
1642.MS00013	ERX1661689
1642.MS00155	ERX1661831
1642.MS00352	ERX1662028
1642.MS00009	ERX1661685
1642.MS00018	ERX1661694
1642.MS00008	ERX1661684
1642.MS00364	ERX1662040
1642.MS00365	ERX1662041
1642.MS00366	ERX1662042
1642.MS00367	ERX1662043
1642.MS00360	ERX1662036
1642.MS00361	ERX1662037
1642.MS00362	ERX1662038
1642.MS00363	ERX1662039
1642.MS00368	ERX1662044
1642.MS00369	ERX1662045
1642.MS00004	ERX1661680
1642.MS00481	ERX1662157
1642.MS00480	ERX1662156
1642.MS00483	ERX1662159
1642.MS00482	ERX1662158
1642.MS00485	ERX1662161
1642.MS00484	ERX1662160
1642.MS00487	ERX1662163
1642.MS00486	ERX1662162
1642.MS00489	ERX1662165
1642.MS00488	ERX1662164
1642.MS00311	ERX1661987
1642.MS00310	ERX1661986
1642.MS00313	ERX1661989
1642.MS00312	ERX1661988
1642.MS00315	ERX1661991
1642.MS00314	ERX1661990
1642.MS00317	ERX1661993
1642.MS00316	ERX1661992
1642.MS00319	ERX1661995
1642.MS00318	ERX1661994
1642.MS00002	ERX1661678
1642.MS00500	ERX1662176
1642.MS00501	ERX1662177
1642.MS00502	ERX1662178
1642.MS00503	ERX1662179
1642.MS00504	ERX1662180
1642.MS00505	ERX1662181
1642.MS00506	ERX1662182
1642.MS00507	ERX1662183
1642.MS00508	ERX1662184
1642.MS00509	ERX1662185
1642.MS00465	ERX1662141
1642.MS00464	ERX1662140
1642.MS00463	ERX1662139
1642.MS00462	ERX1662138
1642.MS00461	ERX1662137
1642.MS00460	ERX1662136
1642.MS00341	ERX1662017
1642.MS00347	ERX1662023
1642.MS00122	ERX1661798
1642.MS00166	ERX1661842
1642.MS00167	ERX1661843
1642.MS00164	ERX1661840
1642.MS00165	ERX1661841
1642.MS00162	ERX1661838
1642.MS00163	ERX1661839
1642.MS00160	ERX1661836
1642.MS00161	ERX1661837
1642.MS00005	ERX1661681
1642.MS00359	ERX1662035
1642.MS00007	ERX1661683
1642.MS00006	ERX1661682
1642.MS00001	ERX1661677
1642.MS00168	ERX1661844
1642.MS00169	ERX1661845
1642.MS00349	ERX1662025
1642.MS00218	ERX1661894
1642.MS00219	ERX1661895
1642.MS00214	ERX1661890
1642.MS00215	ERX1661891
1642.MS00216	ERX1661892
1642.MS00217	ERX1661893
1642.MS00210	ERX1661886
1642.MS00211	ERX1661887
1642.MS00212	ERX1661888
1642.MS00213	ERX1661889
1642.MS00188	ERX1661864
1642.MS00189	ERX1661865
1642.MS00184	ERX1661860
1642.MS00185	ERX1661861
1642.MS00186	ERX1661862
1642.MS00187	ERX1661863
1642.MS00180	ERX1661856
1642.MS00181	ERX1661857
1642.MS00182	ERX1661858
1642.MS00183	ERX1661859
1642.2BLANK	ERX1661672
1642.MS00269	ERX1661945
1642.MS00268	ERX1661944
1642.MS00249	ERX1661925
1642.MS00353	ERX1662029
1642.MS00261	ERX1661937
1642.MS00260	ERX1661936
1642.MS00263	ERX1661939
1642.MS00262	ERX1661938
1642.MS00265	ERX1661941
1642.MS00264	ERX1661940
1642.MS00267	ERX1661943
1642.MS00266	ERX1661942
1642.MS00123	ERX1661799
1642.MS00221	ERX1661897
1642.MS00220	ERX1661896
1642.6BLANK	ERX1661676
1642.MS00229	ERX1661905
1642.MS00228	ERX1661904
1642.3BLANK	ERX1661673
1642.MS00609	ERX1662285
1642.MS00608	ERX1662284
1642.MS00603	ERX1662279
1642.MS00602	ERX1662278
1642.MS00601	ERX1662277
1642.MS00600	ERX1662276
1642.MS00607	ERX1662283
1642.MS00606	ERX1662282
1642.MS00605	ERX1662281
1642.MS00604	ERX1662280
1642.MS00423	ERX1662099
1642.MS00422	ERX1662098
1642.MS00421	ERX1662097
1642.MS00420	ERX1662096
1642.MS00427	ERX1662103
1642.MS00426	ERX1662102
1642.MS00425	ERX1662101
1642.MS00424	ERX1662100
1642.MS00429	ERX1662105
1642.MS00428	ERX1662104
1642.MS00038	ERX1661714
1642.MS00039	ERX1661715
1642.MS00478	ERX1662154
1642.MS00479	ERX1662155
1642.MS00120	ERX1661796
1642.MS00328	ERX1662004
1642.MS00329	ERX1662005
1642.MS00043	ERX1661719
1642.MS00042	ERX1661718
1642.MS00045	ERX1661721
1642.MS00044	ERX1661720
1642.MS00047	ERX1661723
1642.MS00046	ERX1661722
1642.MS00049	ERX1661725
1642.MS00321	ERX1661997
1642.MS00322	ERX1661998
1642.MS00323	ERX1661999
1642.MS00324	ERX1662000
1642.MS00325	ERX1662001
1642.MS00326	ERX1662002
1642.MS00327	ERX1662003
1642.MS00250	ERX1661926
1642.MS00251	ERX1661927
1642.MS00252	ERX1661928
1642.MS00253	ERX1661929
1642.MS00254	ERX1661930
1642.MS00255	ERX1661931
1642.MS00559	ERX1662235
1642.MS00558	ERX1662234
1642.MS00557	ERX1662233
1642.MS00470	ERX1662146
1642.MS00555	ERX1662231
1642.MS00554	ERX1662230
1642.MS00553	ERX1662229
1642.MS00552	ERX1662228
1642.MS00551	ERX1662227
1642.MS00550	ERX1662226
1642.MS00084	ERX1661760
1642.MS00139	ERX1661815
1642.4BLANK	ERX1661674
1642.MS00135	ERX1661811
1642.MS00134	ERX1661810
1642.MS00137	ERX1661813
1642.MS00136	ERX1661812
1642.MS00131	ERX1661807
1642.MS00130	ERX1661806
1642.MS00133	ERX1661809
1642.MS00132	ERX1661808
1642.MS00117	ERX1661793
1642.MS00116	ERX1661792
1642.MS00082	ERX1661758
1642.MS00115	ERX1661791
1642.MS00114	ERX1661790
1642.MS00113	ERX1661789
1642.MS00112	ERX1661788
1642.MS00111	ERX1661787
1642.MS00110	ERX1661786
1642.MS00079	ERX1661755
1642.MS00358	ERX1662034
1642.MS00377	ERX1662053
1642.MS00376	ERX1662052
1642.MS00375	ERX1662051
1642.MS00374	ERX1662050
1642.MS00373	ERX1662049
1642.MS00372	ERX1662048
1642.MS00371	ERX1662047
1642.MS00370	ERX1662046
1642.MS00146	ERX1661822
1642.MS00379	ERX1662055
1642.MS00378	ERX1662054
1642.MS00021	ERX1661697
1642.MS00147	ERX1661823
1642.MS00020	ERX1661696
1642.MS00513	ERX1662189
1642.MS00512	ERX1662188
1642.MS00511	ERX1662187
1642.MS00510	ERX1662186
1642.MS00517	ERX1662193
1642.MS00516	ERX1662192
1642.MS00515	ERX1662191
1642.MS00514	ERX1662190
1642.MS00452	ERX1662128
1642.MS00453	ERX1662129
1642.MS00450	ERX1662126
1642.MS00518	ERX1662194
1642.MS00456	ERX1662132
1642.MS00457	ERX1662133
1642.MS00454	ERX1662130
1642.MS00455	ERX1662131
1642.MS00153	ERX1661829
1642.MS00041	ERX1661717
1642.MS00029	ERX1661705
1642.MS00152	ERX1661828
1642.MS00028	ERX1661704
1642.MS00151	ERX1661827
1642.MS00588	ERX1662264
1642.MS00589	ERX1662265
1642.MS00150	ERX1661826
1642.MS00580	ERX1662256
1642.MS00581	ERX1662257
1642.MS00582	ERX1662258
1642.MS00583	ERX1662259
1642.MS00584	ERX1662260
1642.MS00585	ERX1662261
1642.MS00586	ERX1662262
1642.MS00587	ERX1662263
1642.MS00171	ERX1661847
1642.MS00040	ERX1661716
1642.MS00173	ERX1661849
