sample_name	experiment_accession
1717.39L.low.fertilizer	ERX1906962
1717.KBC7.experimental.plot	ERX1906993
1717.32.high.fertilizer	ERX1906956
1717.KBC16.experimental.plot	ERX1906982
1717.KBC10.experimental.plot	ERX1906977
1717.12.improved.leguminous	ERX1906944
1717.4H.high.fertilizer	ERX1906967
1717.6IF.improved.leguminous	ERX1906971
1717.KBC18.experimental.plot	ERX1906983
1717.20L.low.fertilizer	ERX1906951
1717.KBC14.experimental.plot	ERX1906980
1717.KBC9.experimental.plot	ERX1906995
1717.KBC13.experimental.plot	ERX1906979
1717.10.high.fertilizer	ERX1906942
1717.12IF.improved.leguminous	ERX1906945
1717.10H.high.fertilizer	ERX1906943
1717.1H.high.fertilizer	ERX1906948
1717.41L.low.fertilizer	ERX1906966
1717.4.high.fertilizer	ERX1906964
1717.KBC15.experimental.plot	ERX1906981
1717.KBC20.experimental.plot	ERX1906986
1717.32H.high.fertilizer	ERX1906957
1717.7H.high.fertilizer	ERX1906973
1717.21IF.improved.leguminous	ERX1906953
1717.1.high.fertilizer	ERX1906941
1717.21.improved.leguminous	ERX1906952
1717.7.high.fertilizer	ERX1906972
1717.KBC24.experimental.plot	ERX1906989
1717.36L.low.fertilizer	ERX1906959
1717.KBC4.experimental.plot	ERX1906991
1717.KBC19.experimental.plot	ERX1906984
1717.KBC21.experimental.plot	ERX1906987
1717.20.low.fertilizer	ERX1906950
1717.37L.low.fertilizer	ERX1906960
1717.19.high.fertilizer	ERX1906946
1717.3IF.improved.leguminous	ERX1906963
1717.9.improved.leguminous	ERX1906974
1717.5.low.fertilizer	ERX1906968
1717.KBC2.experimental.plot	ERX1906985
1717.POH.high.with.maure	ERX1906996
1717.3.improved.leguminous	ERX1906955
1717.KBC6.experimental.plot	ERX1906992
1717.38H.high.fertilizer	ERX1906961
1717.35H.high.fertilizer	ERX1906958
1717.KBC22.experimental.plot	ERX1906988
1717.40L.low.fertilizer	ERX1906965
1717.9IF.improved.leguminous	ERX1906975
1717.KBC1.experimental.plot	ERX1906976
1717.6.improved.leguminous	ERX1906970
1717.5L.low.fertilizer	ERX1906969
1717.2L.low.fertilizer	ERX1906954
1717.KBC8.experimental.plot	ERX1906994
1717.2.low.fertilizer	ERX1906949
1717.KBC11.experimental.plot	ERX1906978
1717.KBC3.experimental.plot	ERX1906990
1717.19H.high.fertilizer	ERX1906947
