sample_name	experiment_accession
10141.G.soil.T1.4.ReDay30	ERX1262479
10141.D.ab.swab.T5.3	ERX1261804
10141.D.soil.T1.5.ReDay30	ERX1261956
10141.D.soil.T5.1.ReDay10	ERX1261973
10141.F.skin.body.T2.4	ERX1262131
10141.F.skin.body.T2.5	ERX1262132
10141.D.skin.body.T3.3	ERX1261869
10141.D.skin.body.T3.2	ERX1261868
10141.D.skin.body.T3.1	ERX1261867
10141.F.ab.swab.T0.1	ERX1262042
10141.D.skin.body.T3.5	ERX1261871
10141.D.skin.body.T3.4	ERX1261870
10141.D.soil.T1.1.ReDay20	ERX1261939
10141.G.CTRL.soil.T5.1	ERX1262293
10141.D.soil.T1.2.ReDay10	ERX1261942
10141.D.ab.swab.T5.4	ERX1261805
10141.F.skin.body.T2.1	ERX1262128
10141.F.CTRL.soil.T6.1	ERX1262032
10141.F.skin.body.T2.3	ERX1262130
10141.F.soil.T5.4.ReDay20	ERX1262252
10141.G.soil.T5.5.ReDay30	ERX1262518
10141.D.soil.T5.2.ReDay30	ERX1261979
10141.G.soil.T1.1.ReDay30	ERX1262467
10141.F.soil.T1.2.ReDay20	ERX1262209
10141.D.soil.T5.4.ReDay20	ERX1261986
10141.BLANK3.1	ERX1261675
10141.G.soil.T5.4.ReDay10	ERX1262512
10141.G.soil.T6.4	ERX1262522
10141.G.soil.T6.5	ERX1262523
10141.G.soil.T6.2	ERX1262520
10141.G.soil.T6.3	ERX1262521
10141.G.soil.T6.1	ERX1262519
10141.D.soil.T5.1.ReDay30	ERX1261975
10141.G.skin.body.T2.5	ERX1262393
10141.G.skin.body.T2.4	ERX1262392
10141.G.skin.body.T2.3	ERX1262391
10141.G.skin.body.T2.2	ERX1262390
10141.G.skin.body.T2.1	ERX1262389
10141.D.soil.T5.5.ReDay20	ERX1261990
10141.F.skin.head.T2.1	ERX1262168
10141.G.ab.swab.T2.2	ERX1262319
10141.G.ab.swab.T2.3	ERX1262320
10141.G.ab.swab.T2.1	ERX1262318
10141.G.ab.swab.T2.4	ERX1262321
10141.G.ab.swab.T2.5	ERX1262322
10141.G.soil.T2.2	ERX1262485
10141.G.soil.T2.3	ERX1262486
10141.G.soil.T2.1	ERX1262484
10141.G.soil.T2.4	ERX1262487
10141.G.soil.T2.5	ERX1262488
10141.G.soil.T5.3.ReDay20	ERX1262509
10141.D.soil.T1.3.ReDay20	ERX1261947
10141.D.ab.swab.T0.4	ERX1261780
10141.F.soil.T4.4	ERX1262236
10141.G.soil.T4.4	ERX1262497
10141.G.soil.T4.5	ERX1262498
10141.G.soil.T4.1	ERX1262494
10141.G.soil.T4.2	ERX1262495
10141.G.soil.T4.3	ERX1262496
10141.NTC.plate9	ERX1262537
10141.D.CTRL.soil.T0.2	ERX1261738
10141.NTC.plate4	ERX1262533
10141.NTC.plate5	ERX1262534
10141.NTC.plate6	ERX1262535
10141.NTC.plate7	ERX1262536
10141.D.CTRL.soil.T0.1	ERX1261737
10141.NTC.plate2	ERX1262531
10141.NTC.plate3	ERX1262532
10141.F.CTRL.soil.T0.5	ERX1262006
10141.F.soil.T1.1.ReDay10	ERX1262204
10141.F.soil.T1.5.ReDay10	ERX1262220
10141.G.soil.T0.1	ERX1262459
10141.G.soil.T0.2	ERX1262460
10141.G.soil.T0.3	ERX1262461
10141.G.soil.T0.4	ERX1262462
10141.G.soil.T0.5	ERX1262463
10141.D.fecal.T5.5.Day0	ERX1261851
10141.F.soil.T0.1	ERX1262198
10141.G.skin.head.T4.3	ERX1262441
10141.F.soil.T0.3	ERX1262200
10141.F.soil.T0.2	ERX1262199
10141.F.soil.T0.5	ERX1262202
10141.F.soil.T0.4	ERX1262201
10141.G.skin.head.T0.1	ERX1262419
10141.G.fecal.T1.1.Day0	ERX1262374
10141.D.ab.swab.T3.4	ERX1261795
10141.F.skin.body.T2.2	ERX1262129
10141.F.soil.T2.3	ERX1262225
10141.F.soil.T2.2	ERX1262224
10141.F.soil.T2.1	ERX1262223
10141.D.ab.swab.T3.5	ERX1261796
10141.G.ab.swab.T0.4	ERX1262311
10141.D.fecal.T3.1.Day0	ERX1261847
10141.F.soil.T2.5	ERX1262227
10141.F.soil.T2.4	ERX1262226
10141.F.cecumT4.5	ERX1262106
