sample_name	experiment_accession
10431.E4.6	ERX1425036
10431.E14.18	ERX1425028
10431.E13.6	ERX1425027
10431.E12.6	ERX1425024
10431.E14.30	ERX1425029
10431.E9.18	ERX1425043
10431.0.2.30	ERX1425005
10431.0.3.18	ERX1425007
10431.E8.6	ERX1425042
10431.E9.6	ERX1425045
10431.E15.6	ERX1425033
10431.0.2.18	ERX1425004
10431.E14.6	ERX1425030
10431.E5.6	ERX1425039
10431.0.4.6	ERX1425012
10431.0.1.6	ERX1425003
10431.E5.30	ERX1425038
10431.0.3.6	ERX1425009
10431.E8.30	ERX1425041
10431.E5.18	ERX1425037
10431.E12.30	ERX1425023
10431.E15.18	ERX1425031
10431.0.2.6	ERX1425006
10431.0.4.30	ERX1425011
10431.E12.18	ERX1425022
10431.0.5.6	ERX1425015
10431.0.4.18	ERX1425010
10431.0.3.30	ERX1425008
10431.E15.30	ERX1425032
10431.0.5.18	ERX1425013
10431.0.5.30	ERX1425014
10431.E8.18	ERX1425040
10431.E4.18	ERX1425034
10431.E10.18	ERX1425019
10431.0.1.18	ERX1425001
10431.E13.30	ERX1425026
10431.E10.30	ERX1425020
10431.E1.6	ERX1425018
10431.E4.30	ERX1425035
10431.E13.18	ERX1425025
10431.E1.30	ERX1425017
10431.E1.18	ERX1425016
10431.E9.30	ERX1425044
10431.E10.6	ERX1425021
10431.0.1.30	ERX1425002
