sample_name	experiment_accession
1530.NC.2004.B4.D7.34	ERX2264778
1530.NC.2004.B4.D7.33	ERX2264777
1530.NC.C.U2.D7.74	ERX2264818
1530.NC.2004.B2.D5.10	ERX2264753
1530.NC.C.U2.D7.73	ERX2264817
1530.NC.C.U2.D2.63	ERX2264807
1530.NC.2004.B2.D9.18	ERX2264762
1530.NC.2004.B2.D9.17	ERX2264761
1530.NC.C.U2.D4.68	ERX2264812
1530.NC.C.U2.D4.67	ERX2264811
1530.NC.2004.B2.D3.6	ERX2264750
1530.NC.C.U4.D10.97	ERX2264823
1530.NC.C.U4.D1.79	ERX2264821
1530.NC.2004.B2.D3.5	ERX2264749
1530.NC.C.U4.D4.86	ERX2264830
1530.NC.C.U4.D4.85	ERX2264829
1530.NC.2004.B2.D6.11	ERX2264755
1530.NC.2004.B2.D6.12	ERX2264756
1530.NC.2004.B2.D5.9	ERX2264754
1530.NC.2004.B4.D3.25	ERX2264769
1530.NC.C.U2.D3.65	ERX2264809
1530.NC.2004.B4.D10.39	ERX2264765
1530.NC.C.U1.D10.59	ERX2264785
1530.NC.C.U4.D8.94	ERX2264838
1530.NC.2004.B2.D10.20	ERX2264746
1530.NC.C.U4.D8.93	ERX2264837
1530.NC.C.U1.D8.55	ERX2264799
1530.NC.C.U1.D5.49	ERX2264793
1530.NC.C.U4.D2.81	ERX2264825
1530.NC.C.U4.D2.82	ERX2264826
1530.NC.2004.B2.D7.14	ERX2264758
1530.NC.2004.B2.D7.13	ERX2264757
1530.NC.C.U2.D10.77	ERX2264805
1530.NC.C.U2.D10.78	ERX2264806
1530.NC.2004.B2.D1.1	ERX2264743
1530.NC.C.U4.D6.89	ERX2264833
1530.NC.2004.B2.D1.2	ERX2264744
1530.NC.C.U4.D1.80	ERX2264822
1530.NC.C.U4.D6.90	ERX2264834
1530.NC.C.U4.D9.96	ERX2264840
1530.NC.C.U4.D9.95	ERX2264839
1530.NC.2004.B4.D4.28	ERX2264772
1530.NC.C.U2.D3.66	ERX2264810
1530.NC.2004.B2.D10.19	ERX2264745
1530.NC.C.U1.D1.42	ERX2264784
1530.NC.C.U1.D5.50	ERX2264794
1530.NC.2004.B4.D3.26	ERX2264770
1530.NC.C.U1.D9.57	ERX2264801
1530.NC.C.U1.D9.58	ERX2264802
1530.NC.C.U2.D9.76	ERX2264820
1530.NC.C.U2.D9.75	ERX2264819
1530.NC.C.U1.D3.46	ERX2264790
1530.NC.C.U1.D3.45	ERX2264789
1530.NC.2004.B4.D2.24	ERX2264768
1530.NC.C.U1.D1.41	ERX2264783
1530.NC.C.U4.D3.83	ERX2264827
1530.NC.2004.B4.D2.23	ERX2264767
1530.NC.C.U1.D8.56	ERX2264800
1530.NC.2004.B4.D4.27	ERX2264771
1530.NC.C.U4.D3.84	ERX2264828
1530.NC.C.U1.D7.53	ERX2264797
1530.NC.C.U1.D7.54	ERX2264798
1530.NC.2004.B4.D8.36	ERX2264780
1530.NC.2004.B4.D8.35	ERX2264779
1530.NC.2004.B4.D5.30	ERX2264774
1530.NC.2004.B4.D10.40	ERX2264766
1530.NC.C.U4.D7.91	ERX2264835
1530.NC.C.U4.D7.92	ERX2264836
1530.NC.2004.B4.D9.38	ERX2264782
1530.NC.2004.B4.D9.37	ERX2264781
1530.NC.C.U1.D6.52	ERX2264796
1530.NC.C.U4.D10.98	ERX2264824
1530.NC.C.U1.D6.51	ERX2264795
1530.NC.C.U2.D5.70	ERX2264814
1530.NC.2004.B4.D5.29	ERX2264773
1530.NC.C.U2.D1.61	ERX2264803
1530.NC.C.U2.D1.62	ERX2264804
1530.NC.C.U1.D4.47	ERX2264791
1530.NC.2004.B4.D1.22	ERX2264764
1530.NC.C.U4.D5.88	ERX2264832
1530.NC.2004.B4.D1.21	ERX2264763
1530.NC.C.U2.D2.64	ERX2264808
1530.NC.C.U4.D5.87	ERX2264831
1530.NC.C.U1.D4.48	ERX2264792
1530.NC.C.U2.D5.69	ERX2264813
1530.NC.C.U2.D6.72	ERX2264816
1530.NC.C.U2.D6.71	ERX2264815
1530.NC.2004.B2.D4.8	ERX2264752
1530.NC.C.U1.D10.60	ERX2264786
1530.NC.2004.B4.D6.31	ERX2264775
1530.NC.2004.B4.D6.32	ERX2264776
1530.NC.2004.B2.D2.3	ERX2264747
1530.NC.C.U1.D2.43	ERX2264787
1530.NC.C.U1.D2.44	ERX2264788
1530.NC.2004.B2.D2.4	ERX2264748
1530.NC.2004.B2.D8.16	ERX2264760
1530.NC.2004.B2.D8.15	ERX2264759
1530.NC.2004.B2.D4.7	ERX2264751
