sample_name	experiment_accession
1526.HCanyon8R2	ERX1659906
1526.Halls2R1	ERX1659917
1526.Halls2R2	ERX1659918
1526.HCanyon6R3	ERX1659901
1526.HCanyon6R2	ERX1659900
1526.HCanyon5R1	ERX1659896
1526.HCanyon5R2	ERX1659897
1526.HCanyon5R3	ERX1659898
1526.HCanyon3R2	ERX1659891
1526.Halls0R2	ERX1659912
1526.Halls0R1	ERX1659911
1526.HCanyon3R1	ERX1659890
1526.Halls6R1	ERX1659925
1526.Halls6R2	ERX1659926
1526.Halls4R2	ERX1659922
1526.Halls4R1	ERX1659921
1526.Stillton5R2	ERX1659952
1526.HCanyon12R3	ERX1659883
1526.HCanyon12R2	ERX1659882
1526.HCanyon12R1	ERX1659881
1526.HCanyon7R2	ERX1659903
1526.HCanyon7R3	ERX1659904
1526.HCanyon7R1	ERX1659902
1526.Stillton8R1	ERX1659959
1526.Stillton8R3	ERX1659960
1526.HCanyon11R1	ERX1659878
1526.HCanyon10R1	ERX1659875
1526.HCanyon10R3	ERX1659877
1526.HCanyon10R2	ERX1659876
1526.Halls9R2	ERX1659932
1526.HCanyon11R3	ERX1659880
1526.Halls9R1	ERX1659931
1526.Halls3R1	ERX1659919
1526.Halls3R2	ERX1659920
1526.Stillton10R1	ERX1659936
1526.Stillton10R3	ERX1659938
1526.Stillton10R2	ERX1659937
1526.HCanyon0R1	ERX1659872
1526.Stillton1R1	ERX1659941
1526.HCanyon0R3	ERX1659874
1526.HCanyon0R2	ERX1659873
1526.HCanyon1R1	ERX1659884
1526.HCanyon1R2	ERX1659885
1526.HCanyon1R3	ERX1659886
1526.Halls1R2	ERX1659916
1526.Halls1R1	ERX1659915
1526.Halls7R1	ERX1659927
1526.Halls7R2	ERX1659928
1526.Stillton0R1	ERX1659933
1526.Stillton0R3	ERX1659935
1526.Stillton0R2	ERX1659934
1526.Halls5R2	ERX1659924
1526.Halls5R1	ERX1659923
1526.Stillton11R1	ERX1659939
1526.Stillton11R3	ERX1659940
1526.Halls8R2	ERX1659930
1526.Halls8R1	ERX1659929
1526.Stillton1R2	ERX1659942
1526.Stillton4R1	ERX1659949
1526.Stillton4R3	ERX1659951
1526.Stillton4R2	ERX1659950
1526.Stillton2R3	ERX1659945
1526.Stillton2R2	ERX1659944
1526.Stillton2R1	ERX1659943
1526.Stillton3R2	ERX1659947
1526.Stillton3R3	ERX1659948
1526.Stillton3R1	ERX1659946
1526.HCanyon3R3	ERX1659892
1526.HCanyon11R2	ERX1659879
1526.HCanyon8R1	ERX1659905
1526.Stillton9R1	ERX1659961
1526.HCanyon8R3	ERX1659907
1526.Stillton9R3	ERX1659963
1526.HCanyon9R1	ERX1659908
1526.HCanyon9R2	ERX1659909
1526.HCanyon9R3	ERX1659910
1526.Stillton6R3	ERX1659955
1526.Stillton6R2	ERX1659954
1526.Stillton6R1	ERX1659953
1526.Stillton7R2	ERX1659957
1526.Stillton7R3	ERX1659958
1526.HCanyon6R1	ERX1659899
1526.Stillton7R1	ERX1659956
1526.HCanyon2R3	ERX1659889
1526.HCanyon2R2	ERX1659888
1526.HCanyon2R1	ERX1659887
1526.HCanyon4R1	ERX1659893
1526.HCanyon4R3	ERX1659895
1526.HCanyon4R2	ERX1659894
1526.Halls10R2	ERX1659914
1526.Halls10R1	ERX1659913
1526.CrustControlR1	ERX1659869
1526.CrustControlR3	ERX1659871
1526.CrustControlR2	ERX1659870
1526.Stillton9R2	ERX1659962
