sample_name	experiment_accession
1001.SKB3	ERX1614513
1001.SKD8	ERX1614527
1001.SKB5	ERX1614515
1001.SKB4	ERX1614514
1001.SKB7	ERX1614517
1001.SKB6	ERX1614516
1001.SKB1	ERX1614511
1001.SKD9	ERX1614528
1001.SKB2	ERX1614512
1001.SKD7	ERX1614526
1001.SKD6	ERX1614525
1001.SKD5	ERX1614524
1001.SKD4	ERX1614523
1001.SKB9	ERX1614519
1001.SKB8	ERX1614518
1001.SKD1	ERX1614520
1001.SKD2	ERX1614521
1001.SKD3	ERX1614522
1001.SKM8	ERX1614536
1001.SKM9	ERX1614537
1001.SKM1	ERX1614529
1001.SKM2	ERX1614530
1001.SKM3	ERX1614531
1001.SKM4	ERX1614532
1001.SKM5	ERX1614533
1001.SKM6	ERX1614534
1001.SKM7	ERX1614535
