sample_name	experiment_accession
1036.P.C.0.2.s.4.1.sequences	ERX1617759
1036.A.C.0.1.s.4.1.sequences	ERX1617712
1036.P.Ac.14.1.s.4.1.sequences	ERX1617750
1036.P.N.2.1.s.4.1.sequences	ERX1617770
1036.A.N.2.1.s.4.1.sequences	ERX1617718
1036.A.C.2.2.s.4.1.sequences.r	ERX1617717
1036.A.C.2.1.s.4.1.sequences	ERX1617714
1036.P.N.7.2.s.4.1.sequences	ERX1617775
1036.P.N.7.1.s.4.1.sequences	ERX1617774
1036.B.C.7.2.s.4.1.sequences	ERX1617741
1036.A.Ac.2.2.s.4.1.sequences.r	ERX1617711
1036.P.C.21.2.s.4.1.sequences	ERX1617765
1036.P.C.7.1.s.4.1.sequences	ERX1617766
1036.P.Ac.21.1.s.4.1.sequences	ERX1617754
1036.B.N.7.1.s.4.1.sequences	ERX1617748
1036.B.Ac.21.1.s.4.1.sequences	ERX1617728
1036.P.C.7.2.s.4.1.sequences	ERX1617767
1036.P.Ac.7.1.s.4.1.sequences	ERX1617756
1036.B.Ac.14.1.s.4.1.sequences	ERX1617724
1036.A.Ac.2.1.s.4.1.sequences.r	ERX1617709
1036.B.C.14.2.s.4.1.sequences	ERX1617735
1036.B.N.14.2.s.4.1.sequences	ERX1617743
1036.A.Ac.2.1.s.4.1.sequences	ERX1617708
1036.P.C.0.1.s.4.1.sequences	ERX1617758
1036.P.C.2.1.s.4.1.sequences	ERX1617762
1036.A.N.7.2.s.4.1.sequences	ERX1617721
1036.B.C.7.1.s.4.1.sequences	ERX1617740
1036.P.N.14.2.s.4.1.sequences	ERX1617769
1036.A.C.2.1.s.4.1.sequences.r	ERX1617715
1036.B.C.2.1.s.4.1.sequences	ERX1617736
1036.B.Ac.7.2.s.4.1.sequences	ERX1617731
1036.B.Ac.7.1.s.4.1.sequences	ERX1617730
1036.A.V.2.2.s.4.1.sequences	ERX1617723
1036.A.C.0.2.s.4.1.sequences	ERX1617713
1036.A.V.2.1.s.4.1.sequences	ERX1617722
1036.B.C.21.2.s.4.1.sequences	ERX1617739
1036.B.N.7.2.s.4.1.sequences	ERX1617749
1036.P.Ac.21.2.s.4.1.sequences	ERX1617755
1036.A.N.2.2.s.4.1.sequences	ERX1617719
1036.B.C.14.1.s.4.1.sequences	ERX1617734
1036.B.C.2.2.s.4.1.sequences	ERX1617737
1036.P.C.21.1.s.4.1.sequences	ERX1617764
1036.B.Ac.14.2.s.4.1.sequences	ERX1617725
1036.P.C.14.1.s.4.1.sequences	ERX1617760
1036.B.N.21.1.s.4.1.sequences	ERX1617746
1036.P.Ac.7.2.s.4.1.sequences	ERX1617757
1036.P.C.14.2.s.4.1.sequences	ERX1617761
1036.P.N.2.2.s.4.1.sequences	ERX1617771
1036.A.Ac.2.2.s.4.1.sequences	ERX1617710
1036.P.Ac.14.2.s.4.1.sequences	ERX1617751
1036.P.C.2.2.s.4.1.sequences	ERX1617763
1036.A.N.7.1.s.4.1.sequences	ERX1617720
1036.P.N.21.2.s.4.1.sequences	ERX1617773
1036.B.N.2.1.s.4.1.sequences	ERX1617744
1036.B.N.2.2.s.4.1.sequences	ERX1617745
1036.P.N.21.1.s.4.1.sequences	ERX1617772
1036.B.Ac.2.2.s.4.1.sequences	ERX1617727
1036.B.N.21.2.s.4.1.sequences	ERX1617747
1036.B.Ac.2.1.s.4.1.sequences	ERX1617726
1036.B.C.21.1.s.4.1.sequences	ERX1617738
1036.P.N.14.1.s.4.1.sequences	ERX1617768
1036.P.Ac.2.1.s.4.1.sequences	ERX1617752
1036.B.C.0.2.s.4.1.sequences	ERX1617733
1036.B.C.0.1.s.4.1.sequences	ERX1617732
1036.P.Ac.2.2.s.4.1.sequences	ERX1617753
1036.B.N.14.1.s.4.1.sequences	ERX1617742
1036.A.C.2.2.s.4.1.sequences	ERX1617716
1036.B.Ac.21.2.s.4.1.sequences	ERX1617729
