sample_name	experiment_accession
10218.1193	ERX1902133
10218.T1.R3.6	ERX1902218
10218.G.CTRL.soil.T0.1	ERX1902195
10218.G.CTRL.soil.T0.3	ERX1902197
10218.G.CTRL.soil.T0.2	ERX1902196
10218.G.CTRL.soil.T0.5	ERX1902199
10218.G.CTRL.soil.T0.4	ERX1902198
10218.5.7.13.S.CtrlC	ERX1902146
10218.T1.R5.6	ERX1902220
10218.DM117	ERX1902176
10218.DM111	ERX1902175
10218.5571	ERX1902153
10218.5570	ERX1902152
10218.JB3	ERX1902201
10218.3.7.13.A	ERX1902139
10218.JB.lh	ERX1902200
10218.T1.R6.6	ERX1902221
10218.DM95	ERX1902187
10218.MS00024	ERX1902202
10218.DM97	ERX1902188
10218.RK46	ERX1902213
10218.RK49	ERX1902214
10218.DM99	ERX1902189
10218.DM3	ERX1902183
10218.BVP6	ERX1902163
10218.AG10	ERX1902154
10218.2036	ERX1902135
10218.T1.R2.6	ERX1902217
10218.5289	ERX1902150
10218.3.9.13CtrlB	ERX1902141
10218.MS00032	ERX1902203
10218.F.CTRL.soil.T0.4	ERX1902193
10218.F.CTRL.soil.T0.5	ERX1902194
10218.F.CTRL.soil.T0.2	ERX1902191
10218.F.CTRL.soil.T0.3	ERX1902192
10218.F.CTRL.soil.T0.1	ERX1902190
10218.T1.R4.6	ERX1902219
10218.5.9.13.S.CtrlB	ERX1902147
10218.5.11.13.S.CtrlA	ERX1902143
10218.Blank.F12	ERX1902165
10218.DM147	ERX1902178
10218.DM145	ERX1902177
10218.AG72	ERX1902162
10218.3.6.13CtrlC	ERX1902138
10218.AG3.ls	ERX1902156
10218.T7.R3.6	ERX1902224
10218.Balaton.2.1.11	ERX1902164
10218.5.9.13.S.H.A	ERX1902148
10218.MS00253	ERX1902209
10218.T7.R1.6	ERX1902222
10218.AG7	ERX1902161
10218.3.6.13.D	ERX1902137
10218.RK15	ERX1902211
10218.AG45	ERX1902160
10218.DM150	ERX1902179
10218.1028	ERX1902132
10218.DM152	ERX1902180
10218.AG27	ERX1902155
10218.1892	ERX1902134
10218.5.11.13.S.RA.G	ERX1902144
10218.D.soil.T0.4	ERX1902172
10218.D.soil.T0.5	ERX1902173
10218.D.soil.T0.2	ERX1902170
10218.Cerise.2.1.11	ERX1902168
10218.D.soil.T0.1	ERX1902169
10218.MS00119	ERX1902207
10218.MS00118	ERX1902206
10218.MS00117	ERX1902205
10218.T7.R5.6	ERX1902226
10218.MS00238	ERX1902208
10218.AG31	ERX1902157
10218.AG35	ERX1902159
10218.AG34	ERX1902158
10218.T7.R2.6	ERX1902223
10218.Blank.H12	ERX1902167
10218.MS00586	ERX1902210
10218.RK35	ERX1902212
10218.RK9	ERX1902215
10218.5361	ERX1902151
10218.T7.R6.6	ERX1902227
10218.2818	ERX1902136
10218.3.8.13.B	ERX1902140
10218.4206	ERX1902142
10218.DM74	ERX1902186
10218.DM73	ERX1902185
10218.DM187	ERX1902182
10218.DM186	ERX1902181
10218.T1.R1.6	ERX1902216
10218.T7.R4.6	ERX1902225
10218.MS00048	ERX1902204
10218.5.13.13.S.LA.F	ERX1902145
10218.DM105	ERX1902174
10218.DM51	ERX1902184
10218.Blank.G12	ERX1902166
10218.5081	ERX1902149
10218.D.soil.T0.3	ERX1902171
