sample_name	experiment_accession
1713.McG.L3N210	ERX1906394
1713.McG.L1N210	ERX1906371
1713.McG.L1M210	ERX1906368
1713.McG.L3M1020	ERX1906391
1713.McG.L1K210	ERX1906365
1713.McG.L2M210	ERX1906380
1713.McG.L1B1020	ERX1906361
1713.McG.L1M1020	ERX1906367
1713.McG.L3K210	ERX1906389
1713.McG.L1N02	ERX1906369
1713.McG.L2N210	ERX1906383
1713.McG.L1K1020	ERX1906364
1713.McG.L2K210	ERX1906377
1713.McG.L3N1020	ERX1906393
1713.McG.L3B02	ERX1906384
1713.McG.L1K02	ERX1906363
1713.McG.L2K02	ERX1906375
1713.McG.L2N02	ERX1906381
1713.McG.L2B1020	ERX1906373
1713.McG.L3B210	ERX1906386
1713.McG.L1B02	ERX1906360
1713.McG.L2B210	ERX1906374
1713.McG.L3K1020	ERX1906388
1713.McG.L1M02	ERX1906366
1713.McG.L3B1020	ERX1906385
1713.McG.L2N1020	ERX1906382
1713.McG.L1N1020	ERX1906370
1713.McG.L2K1020	ERX1906376
1713.McG.L2M1020	ERX1906379
1713.McG.L1B210	ERX1906362
1713.McG.L3M210	ERX1906392
1713.McG.L3N02	None
1713.McG.L3K02	ERX1906387
1713.McG.L2M02	ERX1906378
1713.McG.L3M02	ERX1906390
1713.McG.L2B02	ERX1906372
