sample_name	experiment_accession
10145.WB.2A	ERX1590971
10145.7th.2.5B	ERX1590927
10145.WB.2C	ERX1590975
10145.WB.2B	ERX1590973
10145.7th.2.5C	ERX1590928
10145.7th.2.5A	ERX1590926
10145.7th.3C	ERX1590937
10145.7th.3B	ERX1590936
10145.7th.3A	ERX1590935
10145.WB.1A	ERX1590965
10145.WB.1B	ERX1590967
10145.WB.1C	ERX1590969
10145.NB.1A	ERX1590944
10145.NB.1C	ERX1590946
10145.NB.1B	ERX1590945
10145.3rd.3A	ERX1590914
10145.2nd.1C.SO	ERX1590883
10145.7th.2A	ERX1590929
10145.7th.2B	ERX1590930
10145.7th.2C	ERX1590931
10145.2nd.2C.SO	ERX1590889
10145.2nd.1A	ERX1590878
10145.2nd.1B	ERX1590880
10145.2nd.1C	ERX1590882
10145.WB.1A.SO	ERX1590966
10145.WB.1C.SO	ERX1590970
10145.2nd.2A.SO	ERX1590885
10145.3rd.1C	ERX1590907
10145.WB.2C.SO	ERX1590976
10145.3rd.1A	ERX1590905
10145.WB.4C	ERX1590987
10145.WB.4B	ERX1590985
10145.WB.4A	ERX1590983
10145.2nd.2A	ERX1590884
10145.2nd.2C	ERX1590888
10145.2nd.2B	ERX1590886
10145.3rd.3.5B	ERX1590912
10145.3rd.3.5C	ERX1590913
10145.3rd.3.5A	ERX1590911
10145.WB.1.5A.SO	ERX1590960
10145.WB.3B	ERX1590979
10145.WB.3C	ERX1590981
10145.WB.3A.SO	ERX1590978
10145.WB.3A	ERX1590977
10145.7th.3.5A	ERX1590932
10145.7th.3.5B	ERX1590933
10145.7th.3.5C	ERX1590934
10145.WB.4A.SO	ERX1590984
10145.WB.1B.SO	ERX1590968
10145.WB.2B.SO	ERX1590974
10145.2nd.3B	ERX1590892
10145.2nd.3C	ERX1590894
10145.2nd.3A	ERX1590890
10145.WB.1.5C	ERX1590963
10145.WB.1.5B	ERX1590961
10145.WB.1.5A	ERX1590959
10145.2nd.3B.SO	ERX1590893
10145.WB.3C.SO	ERX1590982
10145.3rd.3C	ERX1590916
10145.3rd.3B	ERX1590915
10145.NB.4B	ERX1590954
10145.NB.4C	ERX1590955
10145.NB.4A	ERX1590953
10145.2nd.1A.SO	ERX1590879
10145.2nd.4C	ERX1590900
10145.2nd.4B	ERX1590898
10145.2nd.4A	ERX1590896
10145.WB.4B.SO	ERX1590986
10145.NB.5C	ERX1590958
10145.NB.5B	ERX1590957
10145.7th.1A	ERX1590923
10145.7th.1C	ERX1590925
10145.7th.1B	ERX1590924
10145.2nd.4A.SO	ERX1590897
10145.3rd.2B	ERX1590909
10145.3rd.2C	ERX1590910
10145.2nd.3A.SO	ERX1590891
10145.3rd.2A	ERX1590908
10145.WB.5A	ERX1590989
10145.WB.5B	ERX1590990
10145.WB.5C	ERX1590991
10145.2nd.5A	ERX1590902
10145.2nd.5B	ERX1590903
10145.2nd.5C	ERX1590904
10145.WB.4C.SO	ERX1590988
10145.3rd.5C	ERX1590922
10145.3rd.5B	ERX1590921
10145.3rd.5A	ERX1590920
10145.WB.1.5C.SO	ERX1590964
10145.2nd.4B.SO	ERX1590899
10145.3rd.1B	ERX1590906
10145.NB.5A	ERX1590956
10145.NB.2A	ERX1590947
10145.NB.2B	ERX1590948
10145.NB.2C	ERX1590949
10145.2nd.1B.SO	ERX1590881
10145.7th.5A	ERX1590941
10145.7th.5C	ERX1590943
10145.7th.5B	ERX1590942
10145.2nd.3C.SO	ERX1590895
10145.WB.3B.SO	ERX1590980
10145.3rd.4A	ERX1590917
10145.3rd.4B	ERX1590918
10145.3rd.4C	ERX1590919
10145.WB.2A.SO	ERX1590972
10145.WB.1.5B.SO	ERX1590962
10145.2nd.4C.SO	ERX1590901
10145.NB.3C	ERX1590952
10145.NB.3B	ERX1590951
10145.NB.3A	ERX1590950
10145.2nd.2B.SO	ERX1590887
10145.7th.4B	ERX1590939
10145.7th.4C	ERX1590940
10145.7th.4A	ERX1590938
