sample_name	experiment_accession
1692.Biofilm.A.E1.1.W.2012	ERX1663974
1692.Soil.BE.PolygonB.Medium.Center.08.11.2012	ERX1664027
1692.Soil.BE.PolygonA.Shallow.Center.7.8.2012	ERX1664022
1692.Biofilm.B.DC.2.W.2012	ERX1663984
1692.Biofilm.C.E1.1.C.2012	ERX1663997
1692.Soil.BE.PolygonA.Medium.Center.7.15.2012	ERX1664011
1692.Biofilm.C.E2.2.C.2012	ERX1664003
1692.Soil.BE.PolygonC.Medium.Center.7.15.2012	ERX1664044
1692.Soil.A18.Shallow.2011	ERX1664006
1692.Soil.BE.PolygonA.Shallow.Center.7.28.2012	ERX1664021
1692.Biofilm.C.DC.1.W.2012	ERX1663994
1692.Soil.BE.PolygonC.Medium.Rim.7.15.2012	ERX1664048
1692.Biofilm.A.E1.2.C.2012	ERX1663975
1692.Soil.BE.PolygonA.Medium.Rim.7.28.2012.1	ERX1664016
1692.Soil.BE.PolygonA.Medium.Rim.7.28.2012.2	ERX1664017
1692.Soil.BE.PolygonA.Shallow.Rim.7.15.2012	ERX1664024
1692.Soil.BE.PolygonC.Shallow.Center.08.11.2012	ERX1664051
1692.Biofilm.A.DC.2.W.2012	ERX1663972
1692.Soil.BE.PolygonB.Shallow.Center.7.8.2012	ERX1664038
1692.Biofilm.B.E2.2.C.2012	ERX1663991
1692.Biofilm.A.DC.1.W.2012	ERX1663970
1692.Soil.BE.PolygonC.Medium.Center.7.8.2012	ERX1664046
1692.Biofilm.C.E1.2.C.2012	ERX1663999
1692.Biofilm.B.E1.2.C.2012	ERX1663987
1692.Soil.BE.PolygonB.Medium.Center.7.15.2012	ERX1664028
1692.Soil.BE.PolygonB.Shallow.Rim.7.15.2012	ERX1664040
1692.Biofilm.A.E2.1.W.2012	ERX1663978
1692.Soil.BE.PolygonA.Medium.Center.08.11.2012	ERX1664010
1692.Biofilm.C.E2.1.C.2012	ERX1664001
1692.Biofilm.B.DC.1.W.2012	ERX1663982
1692.Soil.A54.Deep.2011	ERX1664007
1692.Soil.BE.PolygonC.Shallow.Rim.7.15.2012	ERX1664056
1692.Biofilm.B.DC.1.C.2012	ERX1663981
1692.Soil.O42.Medium.2011	ERX1664060
1692.Soil.BE.PolygonB.Shallow.Center.7.15.2012	ERX1664036
1692.Soil.BE.PolygonC.Shallow.Center.7.28.2012	ERX1664053
1692.Soil.BE.PolygonA.Shallow.Rim.08.11.2012	ERX1664023
1692.Soil.BE.PolygonC.Medium.Center.7.28.2012	ERX1664045
1692.Soil.BE.PolygonC.Medium.Rim.7.28.2012	ERX1664049
1692.Biofilm.B.E1.1.C.2012	ERX1663985
1692.Soil.BE.PolygonA.Shallow.Rim.7.28.2012	ERX1664025
1692.Biofilm.C.DC.2.W.2012	ERX1663996
1692.Biofilm.C.E2.2.W.2012	ERX1664004
1692.Soil.BE.PolygonB.Medium.Rim.7.15.2012	ERX1664032
1692.Biofilm.B.DC.2.C.2012	ERX1663983
1692.Biofilm.A.E2.2.W.2012	ERX1663980
1692.Biofilm.A.E1.2.W.2012	ERX1663976
1692.Soil.BE.PolygonB.Shallow.Center.7.28.2012	ERX1664037
1692.Soil.BE.PolygonB.Medium.Center.7.8.2012	ERX1664030
1692.Biofilm.A.E1.1.C.2012	ERX1663973
1692.Soil.Ael.Shallow.2011	ERX1664009
1692.Soil.A18.Medium.2011	ERX1664005
1692.Soil.BE.PolygonC.Shallow.Rim.7.8.2012	ERX1664058
1692.Soil.BE.PolygonA.Medium.Rim.08.11.2012	ERX1664014
1692.Soil.BE.PolygonC.Medium.Rim.08.11.2012	ERX1664047
1692.Soil.BE.PolygonB.Shallow.Rim.08.11.2012	ERX1664039
1692.Soil.BE.PolygonC.Shallow.Center.7.8.2012	ERX1664054
1692.Soil.BE.PolygonA.Medium.Center.7.28.2012	ERX1664012
1692.Soil.BE.PolygonB.Medium.Center.7.28.2012	ERX1664029
1692.Biofilm.C.E1.2.W.2012	ERX1664000
1692.Soil.BE.PolygonC.Shallow.Rim.08.11.2012	ERX1664055
1692.Biofilm.C.E1.1.W.2012	ERX1663998
1692.Soil.BE.PolygonA.Medium.Center.7.8.2012	ERX1664013
1692.Biofilm.A.DC.1.C.2012	ERX1663969
1692.Soil.BE.PolygonA.Shallow.Center.08.11.2012	ERX1664019
1692.Soil.BE.PolygonB.Shallow.Rim.7.8.2012	ERX1664042
1692.Biofilm.C.DC.1.C.2012	ERX1663993
1692.Soil.BE.PolygonC.Shallow.Center.7.15.2012	ERX1664052
1692.Biofilm.B.E2.1.C.2012	ERX1663989
1692.Soil.BE.PolygonA.Shallow.Rim.7.8.2012	ERX1664026
1692.Soil.BE.PolygonC.Medium.Center.08.11.2012	ERX1664043
1692.Biofilm.A.E2.1.C.2012	ERX1663977
1692.Biofilm.C.DC.2.C.2012	ERX1663995
1692.Soil.O42.Deep.2011	ERX1664059
1692.Biofilm.C.E2.1.W.2012	ERX1664002
1692.Biofilm.B.E2.1.W.2012	ERX1663990
1692.Biofilm.A.DC.2.C.2012	ERX1663971
1692.Soil.BE.PolygonB.Medium.Rim.7.28.2012	ERX1664033
1692.Soil.BE.PolygonA.Medium.Rim.7.8.2012	ERX1664018
1692.Soil.BE.PolygonC.Shallow.Rim.7.28.2012	ERX1664057
1692.Biofilm.B.E2.2.W.2012	ERX1663992
1692.Soil.BE.PolygonA.Medium.Rim.7.15.2012	ERX1664015
1692.Soil.BE.PolygonB.Medium.Rim.7.8.2012	ERX1664034
1692.Soil.BE.PolygonC.Medium.Rim.7.8.2012	ERX1664050
1692.Soil.BE.PolygonB.Shallow.Rim.7.28.2012	ERX1664041
1692.Soil.BE.PolygonA.Shallow.Center.7.15.2012	ERX1664020
1692.Soil.BE.PolygonB.Shallow.Center.08.11.2012	ERX1664035
1692.Biofilm.A.E2.2.C.2012	ERX1663979
1692.Soil.Ael.Medium.2011	ERX1664008
1692.Biofilm.B.E1.1.W.2012	ERX1663986
1692.Soil.BE.PolygonB.Medium.Rim.08.11.2012	ERX1664031
1692.Biofilm.B.E1.2.W.2012	ERX1663988
