sample_name	experiment_accession
1034.ZKH4	ERX1628845
1034.ZKH1	ERX1628842
1034.ZKH2	ERX1628843
1034.ZKH3	ERX1628844
1034.CHD10	ERX1628788
1034.CHD11	ERX1628789
1034.ZKG1	ERX1628840
1034.ZKG4	ERX1628841
1034.CHG4	ERX1628812
1034.CHG1	ERX1628808
1034.CHG3	ERX1628811
1034.CHG9	ERX1628813
1034.CHG11	ERX1628810
1034.CHG10	ERX1628809
1034.CHC11	ERX1628774
1034.CHC10	ERX1628773
1034.CHC13	ERX1628776
1034.CHC12	ERX1628775
1034.CHC17	ERX1628778
1034.CHC16	ERX1628777
1034.CHF6	ERX1628804
1034.CHF7	ERX1628805
1034.CHF5	ERX1628803
1034.CHF2	ERX1628802
1034.CHF1	ERX1628796
1034.CHF8	ERX1628806
1034.CHF9	ERX1628807
1034.ZKE5	ERX1628839
1034.ZKE4	ERX1628838
1034.ZKE3	ERX1628837
1034.ZKE2	ERX1628836
1034.ZKD1	ERX1628833
1034.ZKD2	ERX1628834
1034.ZKD3	ERX1628835
1034.CHD8	ERX1628794
1034.CHD9	ERX1628795
1034.CHD4	ERX1628792
1034.CHD5	ERX1628793
1034.CHD1	ERX1628787
1034.CHD2	ERX1628790
1034.CHD3	ERX1628791
1034.CHA10	ERX1628757
1034.CHC9	ERX1628786
1034.CHC8	ERX1628785
1034.CHC1	ERX1628772
1034.CHC3	ERX1628780
1034.CHC2	ERX1628779
1034.CHC5	ERX1628782
1034.CHC4	ERX1628781
1034.CHC7	ERX1628784
1034.CHC6	ERX1628783
1034.CHF10	ERX1628797
1034.CHF11	ERX1628798
1034.CHF12	ERX1628799
1034.CHF13	ERX1628800
1034.CHF14	ERX1628801
1034.ZKB4	ERX1628832
1034.ZKB2	ERX1628831
1034.CHA12	ERX1628759
1034.CHA11	ERX1628758
1034.ZKB1	ERX1628830
1034.CHB10	ERX1628763
1034.CHB8	ERX1628770
1034.CHB9	ERX1628771
1034.CHI13	ERX1628818
1034.CHI12	ERX1628817
1034.CHI11	ERX1628816
1034.CHI10	ERX1628815
1034.CHB2	ERX1628764
1034.CHB3	ERX1628765
1034.CHB1	ERX1628762
1034.CHB6	ERX1628768
1034.CHB7	ERX1628769
1034.CHB4	ERX1628766
1034.CHB5	ERX1628767
1034.ZKA3	ERX1628828
1034.ZKA2	ERX1628827
1034.ZKA1	ERX1628826
1034.ZKA4	ERX1628829
1034.CHI7	ERX1628824
1034.CHI6	ERX1628823
1034.CHI5	ERX1628822
1034.CHI4	ERX1628821
1034.CHI3	ERX1628820
1034.CHI2	ERX1628819
1034.CHI1	ERX1628814
1034.CHI9	ERX1628825
1034.CHA3	ERX1628761
1034.CHA2	ERX1628760
1034.CHA1	ERX1628756
