sample_name	experiment_accession
1674.McG.F110714Ch3H3	ERX1663815
1674.McG.F110714Ch3H4	ERX1663816
1674.McG.G110719Di6	ERX1663916
1674.McG.P110715Ly1	ERX1663927
1674.McG.P110715Ly2	ERX1663928
1674.McG.P110715Ly3	ERX1663929
1674.McG.F110714Ch2R3	ERX1663810
1674.McG.F110714Jr5H3	ERX1663845
1674.McG.P110714Hi3	ERX1663923
1674.McG.P110714Hi2	ERX1663922
1674.McG.P110714Hi1	ERX1663921
1674.McG.G110713Sp6	ERX1663899
1674.McG.G110713Sp5	ERX1663898
1674.McG.G110713Sp4	ERX1663897
1674.McG.F110714Ch1H2	ERX1663795
1674.McG.F110714Ch1H3	ERX1663796
1674.McG.F110714Ch1H1	ERX1663794
1674.McG.F110714Ch1H4	ERX1663797
1674.McG.F110714Ch1H5	ERX1663798
1674.McG.G110715Ly5	ERX1663907
1674.McG.G110713Br1	ERX1663882
1674.McG.G110719Di3	ERX1663913
1674.McG.G110713Br3	ERX1663884
1674.McG.G110719Di5	ERX1663915
1674.McG.G110719Di4	ERX1663914
1674.McG.G110719Di7	ERX1663917
1674.McG.G110715Ly2	ERX1663906
1674.McG.G110713So5	ERX1663896
1674.McG.G110713So3	ERX1663895
1674.McG.G110713So1	ERX1663894
1674.McG.P110718Cps1	ERX1663930
1674.McG.P110718Cps3	ERX1663932
1674.McG.P110718Cps2	ERX1663931
1674.McG.F110714Jr3H3	ERX1663835
1674.McG.F110714Jr3H2	ERX1663834
1674.McG.F110714Jr3H1	ERX1663833
1674.McG.F110714Jr3H5	ERX1663837
1674.McG.F110714Jr3H4	ERX1663836
1674.McG.P110714Jr1	ERX1663924
1674.McG.P110714Jr2	ERX1663925
1674.McG.P110714Jr3	ERX1663926
1674.McG.P110718Gl3	ERX1663935
1674.McG.P110718Gl2	ERX1663934
1674.McG.P110718Gl1	ERX1663933
1674.McG.F110714Ch2H1	ERX1663804
1674.McG.F110714Ch2H3	ERX1663806
1674.McG.F110714Ch2H2	ERX1663805
