sample_name	experiment_accession
755.LSSF.GAMMA.D10.09.06.11.lane1.NoIndex.L001	ERX1821498
755.SSFB.L1.D40.18.10.11.lane1.NoIndex.L001	ERX1822033
755.LSSF.ALPHA.D15.30.06.11.lane1.NoIndex.L001	ERX1821320
755.LSSF.GAMMA.D5.23.06.11.lane1.NoIndex.L001	ERX1821547
755.LSSF.ETA.D10.22.07.11.lane1.NoIndex.L001	ERX1821481
755.SSFA.L1.D1.14.06.11.lane1.NoIndex.L001	ERX1821592
755.LSSF.DELTA.D1.16.06.11.lane1.NoIndex.L001	ERX1821416
755.SSFA.L3.D1.12.07.11.lane1.NoIndex.L001	ERX1821808
755.SSFB.L1.D10.24.08.11.lane1.NoIndex.L001	ERX1821978
755.LAB.IN.09.06.11.lane1.NoIndex.L001	ERX1821296
755.SSFB.L3.D20.06.07.11.lane1.NoIndex.L001	ERX1822116
755.LSSF.BETA.D15.23.06.11.lane1.NoIndex.L001	ERX1821373
755.SSFA.L2.D20.28.06.11.lane1.NoIndex.L001	ERX1821711
755.SSFA.L3.D50.14.06.11.lane1.NoIndex.L001	ERX1821920
755.LSSF.ALPHA.D1.09.06.11.lane1.NoIndex.L001	ERX1821301
755.SSFA.L3.D40.14.06.11.lane1.NoIndex.L001	ERX1821888
755.SSFA.L1.2.D5.21.06.11.lane1.NoIndex.L001	ERX1821579
755.SSFA.L3.D30.19.04.11.lane1.NoIndex.L001	ERX1821875
755.SSFB.L1.D3.21.06.11.lane1.NoIndex.L001	ERX1822007
755.LSSF.GAMMA.D45.09.06.11.lane1.NoIndex.L001	ERX1821534
755.SSFB.L3.2.D3.21.06.11.lane1.NoIndex.L001	ERX1822075
755.SSFA.L3.D50.28.06.11.lane1.NoIndex.L001	ERX1821929
755.LSSF.DELTA.D30.23.06.11.lane1.NoIndex.L001	ERX1821453
755.LSSF.BETA.D15.16.06.11.lane1.NoIndex.L001	ERX1821371
755.SSFB.L1.D10.06.07.11.lane1.NoIndex.L001	ERX1821968
755.LSSF.EPSILON.D1.22.07.11.lane1.NoIndex.L001	ERX1821473
755.LAB.IN.02.06.11.lane1.NoIndex.L001	ERX1821295
755.SSFB.L1.D5.17.05.11.lane1.NoIndex.L001	ERX1822047
755.EF.GAMMA.30.06.11.lane1.NoIndex.L001	ERX1821230
755.LSSF.GAMMA.D20.26.05.11.lane1.NoIndex.L001	ERX1821521
755.SSFA.L3.D5.14.06.11.lane1.NoIndex.L001	ERX1821904
755.SSFA.L3.D5.07.06.11.lane1.NoIndex.L001	ERX1821901
755.INB.06.07.11.lane1.NoIndex.L001	ERX1821281
755.SSFA.L3.D5.19.07.11.lane1.NoIndex.L001	ERX1821908
755.LSSF.GAMMA.D1.22.07.11.lane1.NoIndex.L001	ERX1821492
755.SSFA.L1.D10.17.05.11.lane1.NoIndex.L001	ERX1821603
755.SSFB.L1.D50.26.07.11.lane1.NoIndex.L001	ERX1822068
755.SSFA.L3.D50.18.10.11.lane1.NoIndex.L001	ERX1821922
755.SSFA.L3.2.D40.21.06.11.lane1.NoIndex.L001	ERX1821793
755.LSSF.ALPHA.D5.09.06.11.lane1.NoIndex.L001	ERX1821343
755.LSSF.DELTA.D15.09.06.11.lane1.NoIndex.L001	ERX1821431
755.LSSF.GAMMA.D45.26.05.11.lane1.NoIndex.L001	ERX1821539
755.SSFA.L2.D1.26.07.11.lane1.NoIndex.L001	ERX1821680
755.SSFA.L3.D1.20.09.11.lane1.NoIndex.L001	ERX1821814
755.SSFA.L2.D30.03.05.11.lane1.NoIndex.L001	ERX1821728
755.SSFB.L1.3.D50.21.06.11.lane1.NoIndex.L001	ERX1821951
755.SSFB.L1.D50.10.05.11.lane1.NoIndex.L001	ERX1822059
755.SSFB.L3.D1.18.10.11.lane1.NoIndex.L001	ERX1822094
755.LSSF.ZETA.D30.22.07.11.lane1.NoIndex.L001	ERX1821561
755.SSFB.L3.D40.14.06.11.lane1.NoIndex.L001	ERX1822161
755.SSFA.L1.D50.03.05.11.lane1.NoIndex.L001	ERX1821658
755.LSSF.GAMMA.D45.16.06.11.lane1.NoIndex.L001	ERX1821536
755.SSFA.L3.D20.14.06.11.lane1.NoIndex.L001	ERX1821841
755.SSFB.L3.D20.21.06.11.lane1.NoIndex.L001	ERX1822125
755.SSFA.L3.D10.12.07.11.lane1.NoIndex.L001	ERX1821824
755.SSFA.L2.D30.19.07.11.lane1.NoIndex.L001	ERX1821736
755.SSFB.L3.D3.17.05.11.lane1.NoIndex.L001	ERX1822135
755.SSFA.L2.D20.03.05.11.lane1.NoIndex.L001	ERX1821698
755.SSFB.L1.D3.06.07.11.lane1.NoIndex.L001	ERX1821998
755.LSSF.BETA.D5.26.05.11.lane1.NoIndex.L001	ERX1821410
755.LSSF.ALPHA.D20.14.07.11.lane1.NoIndex.L001	ERX1821323
755.SSFB.L3.3.D50.21.06.11.lane1.NoIndex.L001	ERX1822087
755.SSFB.L1.D20.12.07.11.lane1.NoIndex.L001	ERX1821986
755.INB.17.05.11.lane1.NoIndex.L001	ERX1821286
755.EF.DELTA.02.06.11.lane1.NoIndex.L001	ERX1821213
755.LSSF.BETA.D5.23.06.11.lane1.NoIndex.L001	ERX1821409
755.SSFB.L1.D1.26.07.11.lane1.NoIndex.L001	ERX1821964
755.SSFB.L1.D3.26.07.11.lane1.NoIndex.L001	ERX1822009
755.EF.GAMMA.26.05.11.lane1.NoIndex.L001	ERX1821229
755.LSSF.ALPHA.D15.14.07.11.lane1.NoIndex.L001	ERX1821316
755.LSSF.THETA.D45.22.07.11.lane3.NoIndex.L003	ERX1821555
755.SSFB.L3.D10.06.07.11.lane1.NoIndex.L001	ERX1822102
755.SSFA.L1.D5.18.10.11.lane1.NoIndex.L001	ERX1821653
755.SSFA.MIX.4.19.04.11.lane3.NoIndex.L003	ERX1821934
755.SSFB.L3.2.D50.21.06.11.lane1.NoIndex.L001	ERX1822079
755.EFA.03.05.11.lane1.NoIndex.L001	ERX1821239
755.SSFA.L1.D30.14.06.11.lane1.NoIndex.L001	ERX1821631
755.EF.EPSILON.30.06.11.lane3.NoIndex.L003	ERX1821222
755.SSFA.L2.D10.20.09.11.lane1.NoIndex.L001	ERX1821692
755.EFB.12.07.11.lane1.NoIndex.L001	ERX1821256
755.SSFB.L3.D3.14.06.11.lane1.NoIndex.L001	ERX1822134
755.LAB.IN.22.07.11.lane1.NoIndex.L001	ERX1821297
755.LSSF.BETA.D45.09.06.11.lane1.NoIndex.L001	ERX1821396
755.LSSF.DELTA.D5.09.06.11.lane1.NoIndex.L001	ERX1821467
755.SSFB.L3.D5.20.09.11.lane1.NoIndex.L001	ERX1822180
755.SSFB.L3.D20.14.06.11.lane1.NoIndex.L001	ERX1822120
755.SSFA.L2.D3.14.06.11.lane1.NoIndex.L001	ERX1821718
755.INB.24.08.11.lane1.NoIndex.L001	ERX1821291
755.LSSF.BETA.D20.08.07.11.lane1.NoIndex.L001	ERX1821377
755.SSFA.L1.D20.03.05.11.lane1.NoIndex.L001	ERX1821609
755.SSFA.L1.D1.31.05.11.lane1.NoIndex.L001	ERX1821598
755.SSFA.L3.D3.19.07.11.lane1.NoIndex.L001	ERX1821860
755.EF.DELTA.30.06.11.lane1.NoIndex.L001	ERX1821217
755.LSSF.ALPHA.D10.22.07.11.lane1.NoIndex.L001	ERX1821311
755.LSSF.ALPHA.D1.23.06.11.lane1.NoIndex.L001	ERX1821305
755.SSFA.L2.D20.12.07.11.lane1.NoIndex.L001	ERX1821702
755.LAB.IN.30.06.11.lane1.NoIndex.L001	ERX1821299
755.LSSF.DELTA.D45.22.07.11.lane1.NoIndex.L001	ERX1821461
