sample_name	experiment_accession
1521.Am3.s.7.1.sequences	ERX2072534
1521.230.2.s.7.1.sequences	ERX2072391
1521.S8.s.7.1.sequences	ERX2072918
1521.Flea4.s.7.1.sequences	ERX2072781
1521.228.4.s.7.1.sequences	ERX2072370
1521.Aphid17.s.7.1.sequences	ERX2072543
1521.Sample2.s.7.1.sequences	ERX2072985
1521.EB084.s.6.1.sequences	ERX2072704
1521.Sample53.s.7.1.sequences	ERX2073019
1521.EB150.s.6.1.sequences	ERX2072770
1521.24.W.s.6.1.sequences	ERX2072409
1521.Sample62.s.7.1.sequences	ERX2073024
1521.MZ.47b.s.8.1.sequences	ERX2072842
1521.72.W.s.6.1.sequences	ERX2072492
1521.Mayv.6.s.8.1.sequences	ERX2072873
1521.NTP18.s.6.1.sequences	ERX2072884
1521.EB017.M.s.6.1.sequences	ERX2072635
1521.79.W.s.6.1.sequences	ERX2072499
1521.227.1.s.7.1.sequences	ERX2072355
1521.NTP1.s.6.1.sequences	ERX2072879
1521.EB069.s.6.1.sequences	ERX2072689
1521.Sample3.s.7.1.sequences	ERX2073007
1521.EB043.s.6.1.sequences	ERX2072663
1521.DL1.s.6.1.sequences	ERX2072627
1521.Det.1.s.8.1.sequences	ERX2072629
1521.226.5.s.7.1.sequences	ERX2072349
1521.MT1.s.6.1.sequences	ERX2072821
1521.Aphid1.s.7.1.sequences	ERX2072535
1521.Sample155.s.7.1.sequences	ERX2072968
1521.Agricultural.soil.wheat.s.8.1.sequences	ERX2072529
1521.Aphid11.s.7.1.sequences	ERX2072537
1521.EB056.s.6.1.sequences	ERX2072676
1521.228.8.s.7.1.sequences	ERX2072374
1521.EB120.s.6.1.sequences	ERX2072740
1521.Aphid32.s.7.1.sequences	ERX2072560
1521.SPL.Wint.13.s.8.1.sequences	ERX2072938
1521.228.9.s.7.1.sequences	ERX2072375
1521.331.7.s.7.1.sequences	ERX2072437
1521.GB2.s.6.1.sequences	ERX2072786
1521.231.9.s.7.1.sequences	ERX2072408
1521.231.3.s.7.1.sequences	ERX2072402
1521.Sample35.s.7.1.sequences	ERX2073012
1521.PE2.s.6.1.sequences	ERX2072905
1521.SPL.Sum.9.s.8.1.sequences	ERX2072937
1521.NTP34.s.6.1.sequences	ERX2072896
1521.EB052.s.6.1.sequences	ERX2072672
1521.EB033.s.6.1.sequences	ERX2072653
1521.NTP38.s.6.1.sequences	ERX2072898
1521.88.W.s.6.1.sequences	ERX2072509
1521.BZ1.s.6.1.sequences	ERX2072588
1521.Northern.peatlands.s.8.1.sequences	ERX2072904
1521.Sample265.s.7.1.sequences	ERX2073000
1521.DF2.s.6.1.sequences	ERX2072625
1521.S29.s.7.1.sequences	ERX2072915
1521.330.2.s.7.1.sequences	ERX2072422
1521.227.11.s.7.1.sequences	ERX2072356
1521.Sample113.s.7.1.sequences	ERX2072953
1521.EB107.s.6.1.sequences	ERX2072727
1521.Cle.W2.s.8.1.sequences	ERX2072620
1521.54.W.s.6.1.sequences	ERX2072472
1521.EB085.s.6.1.sequences	ERX2072705
1521.HI1.s.6.1.sequences	ERX2072792
1521.CL2.s.6.1.sequences	ERX2072599
1521.227.9.s.7.1.sequences	ERX2072364
1521.Sample292.s.7.1.sequences	ERX2073004
1521.Agricultural.soil.soy.s.8.1.sequences	ERX2072528
1521.EB049.s.6.1.sequences	ERX2072669
1521.EB047.s.6.1.sequences	ERX2072667
1521.SPL.Sum.1.s.8.1.sequences	ERX2072935
1521.77.W.s.6.1.sequences	ERX2072497
1521.10.W.s.6.1.sequences	ERX2072329
1521.229.4.s.7.1.sequences	ERX2072381
1521.Aphid20.s.7.1.sequences	ERX2072547
1521.331.2.s.7.1.sequences	ERX2072432
1521.Aphid2.s.7.1.sequences	ERX2072546
1521.MZ.72b.blank.s.8.1.sequences	ERX2072856
1521.Sample109.s.7.1.sequences	ERX2072950
1521.Sample260.s.7.1.sequences	ERX2072997
1521.Aphid30.s.7.1.sequences	ERX2072558
1521.332.4.s.7.1.sequences	ERX2072444
1521.Sample291.s.7.1.sequences	ERX2073003
1521.PE7.s.6.1.sequences	ERX2072910
1521.Flea10.s.7.1.sequences	ERX2072778
1521.SPL.Fall.5.s.8.1.sequences	None
1521.AR3.s.6.1.sequences	ERX2072524
1521.228.5.s.7.1.sequences	ERX2072371
1521.PE5.s.6.1.sequences	ERX2072907
1521.MZ.11b.s.8.1.sequences	ERX2072828
1521.F1.s.8.1.sequences	ERX2072775
1521.65.W.s.6.1.sequences	ERX2072484
1521.Aphid14.s.7.1.sequences	ERX2072540
1521.NTP2.s.6.1.sequences	ERX2072885
1521.EB088.s.6.1.sequences	ERX2072708
1521.228.6.s.7.1.sequences	ERX2072372
1521.331.3.s.7.1.sequences	ERX2072433
1521.330.4.s.7.1.sequences	ERX2072424
1521.Am2.3.s.7.1.sequences	ERX2072532
1521.43.W.s.6.1.sequences	ERX2072460
1521.226.1.1.s.7.1.sequences	ERX2072343
1521.Aphid12.s.7.1.sequences	ERX2072538
1521.KP3.s.6.1.sequences	ERX2072809
1521.Aphid23.s.7.1.sequences	ERX2072550
1521.Sample159.s.7.1.sequences	ERX2072972
1521.332.1.1.s.7.1.sequences	ERX2072440
1521.HI3.s.6.1.sequences	ERX2072794
1521.Compost.s.8.1.sequences	ERX2072622
1521.DF1.M.s.6.1.sequences	ERX2072623
1521.EB026.s.6.1.sequences	ERX2072646
1521.Flea7.s.7.1.sequences	ERX2072783
1521.EB073.s.6.1.sequences	ERX2072693
1521.Sample199.s.7.1.sequences	ERX2072984
1521.Aphid38.s.7.1.sequences	ERX2072565
1521.Sample320.s.7.1.sequences	ERX2073011
1521.Sample257.s.7.1.sequences	ERX2072994
1521.EB058.s.6.1.sequences	ERX2072678
1521.PE3.s.6.1.sequences	None
1521.8.W.s.6.1.sequences	ERX2072500
1521.227.2.s.7.1.sequences	ERX2072357
1521.MZ.52a.s.8.1.sequences	ERX2072845
1521.Det.W4.s.8.1.sequences	ERX2072632
1521.GB5.s.6.1.sequences	ERX2072788
1521.331.4.s.7.1.sequences	ERX2072434
1521.Sample204.s.7.1.sequences	ERX2072990
1521.EB089.s.6.1.sequences	ERX2072709
1521.EB139.s.6.1.sequences	ERX2072759
1521.SPL.Fall.9.s.8.1.sequences	ERX2072931
1521.Aphid44.s.7.1.sequences	ERX2072572
1521.Tick1.s.7.1.sequences	ERX2073063
1521.EB034.s.6.1.sequences	ERX2072654
1521.5.W.s.6.1.sequences	ERX2072467
1521.Sample164.s.7.1.sequences	ERX2072976
1521.TL3.s.6.1.sequences	ERX2073058
1521.Ag0152.1.s.7.1.sequences	ERX2072527
1521.EB036.s.6.1.sequences	ERX2072656
1521.Aphid10.s.7.1.sequences	ERX2072536
1521.SR1.s.6.1.sequences	ERX2072941
1521.226.8.s.7.1.sequences	ERX2072352
1521.EB076.s.6.1.sequences	ERX2072696
1521.89.W.s.6.1.sequences	ERX2072510
1521.LQ3.s.6.1.sequences	ERX2072813
1521.25.W.s.6.1.sequences	ERX2072410
1521.SV1.s.6.1.sequences	ERX2072945
1521.SF2.M.s.6.1.sequences	ERX2072922
1521.Cle.W3.s.8.1.sequences	ERX2072621
1521.Aphid16.s.7.1.sequences	ERX2072542
1521.Sample145.s.7.1.sequences	ERX2072964
1521.LQ1.s.6.1.sequences	ERX2072811
1521.Sample13.s.7.1.sequences	ERX2072957
1521.226.2.s.7.1.sequences	ERX2072346
1521.MD5.s.6.1.sequences	ERX2072818
1521.Det.W6.s.8.1.sequences	ERX2072633
1521.51.W.s.6.1.sequences	ERX2072469
1521.GB1.s.6.1.sequences	ERX2072785
1521.40.W.s.6.1.sequences	ERX2072457
1521.Sample22.s.7.1.sequences	ERX2072992
1521.EB041.s.6.1.sequences	ERX2072661
1521.EB066.s.6.1.sequences	ERX2072686
1521.HF1.s.6.1.sequences	None
1521.Am2.4.s.7.1.sequences	ERX2072533
1521.EB024.s.6.1.sequences	ERX2072644
1521.SPL.Sp.25.s.8.1.sequences	ERX2072933
1521.Aphid4.s.7.1.sequences	ERX2072567
1521.SPL.Fall.1.s.8.1.sequences	ERX2072930
1521.NTP21.s.6.1.sequences	ERX2072886
1521.NTP10.s.6.1.sequences	ERX2072880
1521.Sample68.s.7.1.sequences	ERX2073028
1521.NTP12.s.6.1.sequences	ERX2072882
1521.AG3.s.8.1.sequences	ERX2072520
1521.C3.s.8.1.sequences	ERX2072592
1521.Sample88.s.7.1.sequences	ERX2073048
1521.IE1.s.6.1.sequences	ERX2072798
