sample_name	experiment_accession
1715.McG.NH3	ERX1906448
1715.McG.NH2	ERX1906447
1715.McG.NH1	ERX1906446
1715.McG.NF1	ERX1906441
1715.McG.NF3	ERX1906442
1715.McG.NF2	None
1715.McG.ND3	ERX1906437
1715.McG.ND2	ERX1906436
1715.McG.ND1	ERX1906435
1715.McG.NB1	ERX1906429
1715.McG.NB3	ERX1906431
1715.McG.NB2	ERX1906430
1715.McG.NPRI1	ERX1906473
1715.McG.NPRI2	ERX1906474
1715.McG.NPRI3	ERX1906475
1715.McG.NS2	ERX1906483
1715.McG.NS3	ERX1906484
1715.McG.NE3	ERX1906440
1715.McG.NS1	ERX1906482
1715.McG.NQ1	ERX1906476
1715.McG.NQ2	ERX1906477
1715.McG.NQ3	ERX1906478
1715.McG.NO2	ERX1906468
1715.McG.NO3	ERX1906469
1715.McG.NO1	ERX1906467
1715.McG.NM1	ERX1906461
1715.McG.NM2	ERX1906462
1715.McG.NM3	ERX1906463
1715.McG.NK2	ERX1906456
1715.McG.NK3	ERX1906457
1715.McG.NK1	ERX1906455
1715.McG.NI1	ERX1906449
1715.McG.NI2	ERX1906450
1715.McG.NI3	ERX1906451
1715.McG.NG2	ERX1906444
1715.McG.NG3	ERX1906445
1715.McG.NG1	ERX1906443
1715.McG.NSEC1	ERX1906485
1715.McG.NE2	ERX1906439
1715.McG.NSEC3	ERX1906487
1715.McG.NC2	ERX1906433
1715.McG.NC3	ERX1906434
1715.McG.NC1	ERX1906432
1715.McG.NA1	ERX1906426
1715.McG.NA2	ERX1906427
1715.McG.NA3	ERX1906428
1715.McG.NR1	ERX1906479
1715.McG.NR3	ERX1906481
1715.McG.NE1	ERX1906438
1715.McG.NJ1	ERX1906452
1715.McG.NR2	ERX1906480
1715.McG.NP3	ERX1906472
1715.McG.NP2	ERX1906471
1715.McG.NP1	ERX1906470
1715.McG.NN1	ERX1906464
1715.McG.NN3	ERX1906466
1715.McG.NN2	ERX1906465
1715.McG.NL3	ERX1906460
1715.McG.NL2	ERX1906459
1715.McG.NL1	ERX1906458
1715.McG.NSEC2	ERX1906486
1715.McG.NJ3	ERX1906454
1715.McG.NJ2	ERX1906453
