sample_name	experiment_accession
1747.slasher.31.101112	ERX1545575
1747.DZF.6132012.TJ.tree.in.central.planter.bark	ERX1545461
1747.992318.fecal	ERX1545423
1747.DZF.6132012.TJ.saliva	ERX1545457
1747.992317.skin	ERX1545422
1747.slasher.34.101112	ERX1545578
1747.DZF.6132012.TJ.door	ERX1545449
1747.DZF.742012.A.skin.right.armpit.2	ERX1545495
1747.DZF.6202012.KK.water	ERX1545465
1747.992491.skin	ERX1545431
1747.Hi.Five.232569.fecal	ERX1545502
1747.slasher.36.101112	ERX1545580
1747.DZF.6132012.TJ.back.rock.wall	ERX1545447
1747.DZF.6202012.RJ.plant	ERX1545473
1747.v.indicus.58.fecal	ERX1545590
1747.DZF.6132012.TJ.shelf	ERX1545458
1747.992491.fecal	ERX1545429
1747.207507.10512.skin	ERX1545399
1747.DZF.6202012.RJ.glass.window	ERX1545469
1747.DZF.6132012.TJ.exhibit.glass	ERX1545450
1747.992317.fecal	ERX1545420
1747.DZF.6272012.KK.plastic.hide.tub	ERX1545488
1747.DZF.6252012.A.concrete.wall	ERX1545477
1747.992495.saliva	ERX1545433
1747.DZF.6202012.RJ.metal.door.on.N.side	ERX1545471
1747.200315.92812.skin	ERX1545394
1747.slasher.48.101212	ERX1545582
1747.rinca.50.101212	ERX1545570
1747.boga.23290.oral	ERX1545531
1747.RGZ.7172012.H.fecal	ERX1545512
1747.DZF.6252012.A.water.bowl	ERX1545482
1747.992319.fecal	ERX1545426
1747.szelma.992677.saliva	ERX1545588
1747.DZF.6202012.RJ.back.rock.ledge	ERX1545467
1747.907019.exhibit.dirt.plant	ERX1545406
1747.Sanchez.72612.feces1	ERX1545518
1747.Sanchez.72612.feces2	ERX1545519
1747.c.v.v.2011010.oral	ERX1545547
1747.c.v.v.2011007.fecal	ERX1545537
1747.lima.991488.skin	ERX1545560
1747.rinca.41.101112	ERX1545568
1747.DZF.6142012.KK.fecal	ERX1545463
1747.200188.saliva	ERX1545386
1747.207495.10512.saliva	ERX1545396
1747.jordy.409305.fecal	ERX1545552
1747.DZF.672012.KK.fecal	ERX1545491
1747.DZF.742012.A.saliva	ERX1545492
1747.992491.saliva	ERX1545430
1747.H10140.oral	ERX1545501
1747.jordy.409305.forehead	ERX1545553
1747.L00376.81512.leftarmpit	ERX1545506
1747.c.v.v.2011007.oral	ERX1545538
1747.200197.holding.pen2.straw	ERX1545389
1747.DZF.612012.RJ.saliva.inside.mouth	ERX1545440
1747.936306.10512.fecal	ERX1545411
1747.c.v.v.2011010.fecal	ERX1545546
1747.v.indicus.58.oral	ERX1545591
1747.szelma.992677.fecal	ERX1545587
1747.209107.holding.pen.A.debris	ERX1545401
1747.Sanchez.72612.skin1	ERX1545522
1747.Sanchez.72612.skin2	ERX1545523
1747.DZF.742012.A.skin.cloaca.3	ERX1545494
1747.DZF.6202012.RJ.front.ledge	ERX1545468
1747.DZF.6132012.TJ.log	ERX1545453
1747.Sanchez.72612.saliva1	ERX1545520
1747.Sanchez.72612.saliva2	ERX1545521
1747.slasher.35.101112	ERX1545579
1747.200197.fecal	ERX1545387
1747.ocher.23292.fecal	ERX1545561
1747.rinca.52.101212	ERX1545572
1747.ocher.23292.oral	ERX1545562
1747.DZF.612012.C.water	ERX1545436
1747.DZF.742012.A.skin.center.ventral.1	ERX1545493
1747.rinca.37.101112	ERX1545564
1747.v.indicus.58.skin	ERX1545592
1747.946303.10512.saliva	ERX1545415
1747.H10139.right.shoulder	ERX1545499
1747.DZF.612012.RJ.skin.1	ERX1545441
1747.930256.skin	ERX1545410
1747.DZF.612012.RJ.skin.3	ERX1545443
1747.DZF.612012.RJ.skin.2	ERX1545442
1747.RGZ.7172012.H.saliva	ERX1545513
1747.rinca.40.101112	ERX1545567
1747.Hi.Five.232569.skin	ERX1545503
1747.DZF.6202012.RJ.metal.entry.door	ERX1545472
1747.DZF.6202012.RJ.rock.wall	ERX1545474
1747.200080.92812.fecal	ERX1545382
1747.DZF.6202012.KK.feces	ERX1545464
1747.DZF.6272012.KK.metal.wall	ERX1545486
1747.DZF.6272012.KK.feces	ERX1545484
1747.936306.10512.saliva	ERX1545412
1747.RGZ.7172012.NN.fecal	ERX1545515
1747.DZF.652012.C.drool	ERX1545490
1747.992319.skin	ERX1545428
1747.DZF.6272012.KK.log	ERX1545485
1747.DZF.6272012.KK.mulch.substrate	ERX1545487
1747.DZF.6252012.A.plastic.hide.box	ERX1545480
1747.Teman.72612.skin2	ERX1545529
1747.Teman.72612.skin1	ERX1545528
1747.992316.fecal	ERX1545417
1747.992318.saliva	ERX1545424
1747.c.v.v.2011010.body	ERX1545545
1747.212070.saliva	ERX1545405
1747.209107.skin	ERX1545403
1747.200188.fecal	ERX1545385
1747.RGZ.7172012.NN.saliva	ERX1545516
1747.c.v.v.2011009.oral	ERX1545544
1747.ocher.skin	ERX1545563
1747.smaug.19404.fecal	ERX1545584
1747.DZF.612012.C.window	ERX1545437
1747.DZF.5302012.RJ.flick	ERX1545435
1747.DZF.6202012.RJ.acrylic.shield	ERX1545466
1747.slasher.49.101212	ERX1545583
1747.lima.991488.saliva	ERX1545559
1747.200188.skin	None
1747.RGZ.7172012.H.skin	ERX1545514
1747.946303.10512.fecal	ERX1545414
1747.209107.fecal	ERX1545400
1747.L00376.81812.drool2	ERX1545510
1747.L00376.81812.drool1	ERX1545509
1747.L00376.81512.head	ERX1545505
1747.992495.skin	ERX1545434
1747.buru.991965.skin	ERX1545534
1747.DZF.6132012.TJ.log.by.shift	ERX1545454
1747.992318.skin	ERX1545425
1747.L00376.81512.back	ERX1545504
1747.Teman.72612.saliva2	ERX1545527
1747.Teman.72612.saliva1	ERX1545526
1747.DZF.6132012.TJ.center.basking.rock	ERX1545448
1747.DZF.6272012.shipping.crate	ERX1545489
1747.930250.skin	ERX1545409
1747.DZF.6252012.A.log	ERX1545478
1747.992316.saliva	ERX1545418
1747.DZF.6252012.A.metal.wall	ERX1545479
1747.buru.saliva	ERX1545535
1747.smaug.skin	ERX1545586
1747.c.v.v.2011012.body	ERX1545548
1747.DZF.612012.RJ.fecal	ERX1545438
1747.DZF.6132012.TJ.sunken.tree.stump	ERX1545460
1747.207495.10512.fecal	ERX1545395
1747.DZF.6202012.RJ.soil.under.basking.site	ERX1545476
1747.RGZ.7172012.NN.skin	ERX1545517
1747.936306.10512.skin	ERX1545413
1747.H10140.left.shoulder	ERX1545500
1747.DZF.612012.RJ.front.rock.ledge	ERX1545439
1747.L00376.81512.mouthcorner	ERX1545507
1747.H10138.oral	ERX1545496
1747.200080.92812.skin	ERX1545384
1747.DZF.6132012.TJ.ponytail.palm.tree	ERX1545456
1747.DZF.612012.RJ.water	ERX1545445
1747.kawan.407319.fecal	ERX1545555
1747.slasher.29.101112	ERX1545573
1747.209107.saliva	ERX1545402
1747.kawan.407319.forehead	ERX1545556
1747.jordy.409305.saliva	ERX1545554
1747.992319.saliva	ERX1545427
1747.H10139.oral	ERX1545498
1747.207495.10512.skin	ERX1545397
1747.v.rudicollis.44.fecal	ERX1545593
1747.rinca.42.101112	ERX1545569
1747.DZF.6132012.TJ.holding.floor	ERX1545451
1747.200197.skin	ERX1545391
1747.DZF.6202012.RJ.log	ERX1545470
1747.c.v.v.2011008.oral	ERX1545541
1747.c.v.v.2011009.body	ERX1545542
1747.boga.23290.skin	ERX1545532
1747.200315.92812.saliva	ERX1545393
1747.DZF.6132012.TJ.planter.soil	ERX1545455
1747.200315.92812.fecal	ERX1545392
1747.slasher.30.101112	ERX1545574
1747.c.v.v.2011009.fecal	ERX1545543
1747.DZF.6252012.A.shipping.box	ERX1545481
1747.992317.saliva	ERX1545421
1747.200197.holding.pen2.dirt.plant.matter	ERX1545388
1747.946303.10512.skin	ERX1545416
1747.DZF.612012.RJ.soil	ERX1545444
1747.Teman.72612.feces1	ERX1545524
1747.H10138.right.shoulder	ERX1545497
1747.Teman.72612.feces2	ERX1545525
1747.c.v.v.2011012.oral	ERX1545550
1747.rinca.38.101112	ERX1545565
1747.L00376.81812.feces	ERX1545511
1747.buru.991965.fecal	ERX1545533
1747.DZF.6272012.KK.concrete.wall	ERX1545483
1747.hi.five.23569.oral	ERX1545551
1747.v.rudicollis.44.skin	ERX1545595
1747.930250.saliva	ERX1545408
1747.DZF.6132012.TJ.side.basking.rock	ERX1545459
1747.c.v.v.2011008.body	ERX1545539
1747.DZF.6132012.TJ.holding.wall	ERX1545452
1747.L00376.81512.tonguefilckx4	ERX1545508
1747.c.v.v.2011007.body	ERX1545536
1747.slasher.47.101212	ERX1545581
1747.c.v.v.2011012.fecal	ERX1545549
1747.930250.fecal	ERX1545407
1747.DZF.6202012.RJ.soil	ERX1545475
1747.v.rudicollis.44.oral	ERX1545594
1747.rinca.39.101112	ERX1545566
1747.DZF.6132012.A.fecal	ERX1545446
1747.992495.fecal	ERX1545432
1747.szelma.992677.skin	ERX1545589
1747.DZF.6132012.TJ.tree.in.central.planter.leaves	ERX1545462
1747.992316.skin	ERX1545419
1747.kawan.407319.saliva	ERX1545557
1747.212070.holding.pen.B.debris	ERX1545404
1747.lima.991488.fecal	ERX1545558
1747.slasher.32.101112	ERX1545576
1747.200080.92812.saliva	ERX1545383
1747.boga.23290.fecal	ERX1545530
1747.rinca.51.101212	ERX1545571
1747.smaug.oral	ERX1545585
1747.slasher.33.101112	ERX1545577
1747.207507.10512.fecal	ERX1545398
1747.200197.saliva	ERX1545390
1747.c.v.v.2011008.fecal	ERX1545540
