sample_name	experiment_accession
990.KA2U.E.18	ERX1630248
990.KA2U.E.19	ERX1630249
990.KA2U.E.10	ERX1630241
990.KA2U.E.11	ERX1630242
990.KA2U.E.12	ERX1630243
990.KA2U.E.13	ERX1630244
990.KA2U.E.14	ERX1630245
990.KA2U.E.15	ERX1630246
990.KA2U.E.16	ERX1630247
990.KA3U.D.15	ERX1630458
990.KA2U.D.24	ERX1630231
990.KA2U.D.25	ERX1630232
990.KA2U.D.22	ERX1630229
990.KA2U.D.23	ERX1630230
990.KA2U.D.20	ERX1630227
990.KA2U.D.21	ERX1630228
990.KA1U.E.19	ERX1630013
990.KA1U.E.18	ERX1630012
990.KA1U.E.13	ERX1630007
990.KA1U.E.12	ERX1630006
990.KA1U.E.11	ERX1630005
990.KA1U.E.10	ERX1630004
990.KA1U.E.17	ERX1630011
990.KA1U.E.16	ERX1630010
990.KA1U.E.15	ERX1630009
990.KA1U.E.14	ERX1630008
990.KA1U.B.23	ERX1629947
990.KA1U.B.22	ERX1629946
990.KA1U.B.21	ERX1629945
990.KA1U.B.20	ERX1629944
990.KA1U.B.25	ERX1629949
990.KA1U.B.24	ERX1629948
990.KA3U.C.01	ERX1630421
990.KA1U.C.11	ERX1629959
990.KA1F.A.01	ERX1629784
990.KA1U.C.13	ERX1629961
990.KA1U.C.12	ERX1629960
990.KA1U.C.15	ERX1629963
990.KA1U.C.14	ERX1629962
990.KA1U.C.16	ERX1629964
990.KA1U.C.19	ERX1629966
990.KA1U.C.18	ERX1629965
990.KA1F.A.03	ERX1629786
990.KA1F.E.25	ERX1629900
990.KA2F.E.23	ERX1630136
990.KA1F.A.05	ERX1629788
990.KA2F.E.25	ERX1630138
990.KA3F.A.08	ERX1630262
990.KA3F.C.12	ERX1630314
990.KA1F.E.08	ERX1629884
990.KA3U.E.19	ERX1630486
990.KA2U.C.16	ERX1630200
990.KA3U.D.01	ERX1630444
990.KA2U.C.14	ERX1630198
990.KA2U.C.15	ERX1630199
990.KA3U.C.04	ERX1630423
990.KA2U.C.13	ERX1630197
990.KA3U.C.06	ERX1630425
990.KA3U.C.07	ERX1630426
990.KA3U.C.08	ERX1630427
990.KA3U.C.09	ERX1630428
990.KA2F.B.05	ERX1630048
990.KA2U.C.18	ERX1630202
990.KA2U.C.19	ERX1630203
990.KA1F.E.20	ERX1629896
990.KA3U.D.05	ERX1630448
990.KA3U.D.04	ERX1630447
990.KA2U.A.18	ERX1630155
990.KA2U.A.19	ERX1630156
990.KA2U.A.14	ERX1630151
990.KA2U.A.15	ERX1630152
990.KA2U.A.16	ERX1630153
990.KA2U.A.17	ERX1630154
990.KA2U.A.10	ERX1630147
990.KA2U.A.11	ERX1630148
990.KA2U.A.12	ERX1630149
990.KA2U.A.13	ERX1630150
990.KA3F.A.13	ERX1630266
990.KA3U.C.10	ERX1630429
990.KA1U.A.19	ERX1629918
990.KA1U.A.18	ERX1629917
990.KA1U.A.17	ERX1629916
990.KA1U.A.16	ERX1629915
990.KA1U.A.15	ERX1629914
990.KA1U.A.14	ERX1629913
990.KA1U.A.13	ERX1629912
990.KA1U.A.12	ERX1629911
990.KA1U.A.11	ERX1629910
990.KA1U.A.10	ERX1629909
990.KA2F.B.18	ERX1630061
990.KA2F.B.19	ERX1630062
990.KA3U.D.18	ERX1630461
990.KA3U.D.19	ERX1630462
990.KA2F.A.19	ERX1630038
990.KA2F.A.18	ERX1630037
990.KA2F.B.10	ERX1630053
990.KA2F.B.11	ERX1630054
990.KA2F.A.17	ERX1630036
990.KA2F.B.13	ERX1630056
990.KA2F.A.11	ERX1630030
990.KA2F.B.15	ERX1630058
990.KA2F.B.16	ERX1630059
990.KA2F.B.17	ERX1630060
990.KA3F.E.03	ERX1630354
990.KA3F.E.02	ERX1630353
990.KA3F.E.01	ERX1630352
990.KA3F.E.06	ERX1630357
990.KA3F.E.05	ERX1630356
990.KA3F.E.04	ERX1630355
990.KA3F.E.09	ERX1630359
990.KA3F.E.08	ERX1630358
990.KA2F.C.22	ERX1630089
990.KA2F.C.23	ERX1630090
990.KA2F.C.20	ERX1630087
990.KA2F.C.21	ERX1630088
990.KA3F.D.10	ERX1630336
990.KA2F.B.07	ERX1630050
990.KA3F.C.04	ERX1630306
990.KA2F.A.15	ERX1630034
990.KA1F.C.07	ERX1629839
990.KA3U.B.09	ERX1630406
990.KA3U.B.08	ERX1630405
990.KA1F.C.06	ERX1629838
990.KA3U.B.02	ERX1630401
990.KA3U.B.01	ERX1630400
990.KA3U.B.07	ERX1630404
990.KA3U.A.22	ERX1630396
990.KA3U.B.05	ERX1630403
990.KA3U.B.04	ERX1630402
990.KA2U.E.21	ERX1630251
990.KA2U.E.20	ERX1630250
990.KA2U.E.23	ERX1630253
990.KA2U.E.22	ERX1630252
990.KA2U.E.25	ERX1630255
990.KA2U.E.24	ERX1630254
990.KA3U.C.23	ERX1630441
990.KA1F.C.03	ERX1629835
990.KA2F.A.14	ERX1630033
990.KA3F.E.23	ERX1630373
990.KA3U.A.25	ERX1630399
990.KA2F.C.04	ERX1630072
990.KA3F.C.13	ERX1630315
990.KA2F.C.05	ERX1630073
990.KA3U.E.04	ERX1630472
990.KA3F.A.18	ERX1630271
990.KA3F.A.19	ERX1630272
990.KA3F.C.10	ERX1630312
990.KA3F.C.11	ERX1630313
990.KA3F.C.16	ERX1630318
990.KA3F.C.17	ERX1630319
990.KA3F.C.14	ERX1630316
990.KA3F.C.15	ERX1630317
990.KA3F.A.10	ERX1630263
990.KA3F.A.11	ERX1630264
990.KA3F.A.12	ERX1630265
990.KA3F.C.19	ERX1630321
990.KA3F.A.14	ERX1630267
990.KA3F.A.15	ERX1630268
990.KA3F.A.16	ERX1630269
990.KA3F.A.17	ERX1630270
990.KA2F.C.02	ERX1630070
990.KA3U.E.08	ERX1630476
990.KA2F.C.03	ERX1630071
990.KA3F.C.09	ERX1630311
990.KA1U.D.06	ERX1629978
990.KA3F.D.16	ERX1630342
990.KA2F.A.16	ERX1630035
990.KA1F.B.08	ERX1629816
990.KA1F.B.09	ERX1629817
990.KA1F.B.04	ERX1629812
990.KA1F.B.05	ERX1629813
990.KA1F.B.06	ERX1629814
990.KA1F.B.07	ERX1629815
990.KA1F.B.01	ERX1629809
