sample_name	experiment_accession
1714.McG.LA210	ERX1906397
1714.McG.LB210	ERX1906400
1714.McG.PC1020	ERX1906419
1714.McG.LC1020	ERX1906402
1714.McG.LB1020	ERX1906399
1714.McG.OPC1020	ERX1906411
1714.McG.LA1020	ERX1906396
1714.McG.OPA210	ERX1906406
1714.McG.PA02	ERX1906413
1714.McG.OPC210	ERX1906412
1714.McG.LC02	ERX1906401
1714.McG.PA1020	ERX1906414
1714.McG.OPA02	ERX1906404
1714.McG.OPB1020	ERX1906408
1714.McG.OPB02	ERX1906407
1714.McG.LC210	ERX1906403
1714.McG.OPC02	ERX1906410
1714.McG.PB02	ERX1906416
1714.McG.LB02	ERX1906398
1714.McG.PB1020	ERX1906417
1714.McG.PC210	ERX1906420
1714.McG.LA02	ERX1906395
1714.McG.OPA1020	ERX1906405
1714.McG.PA210	ERX1906415
1714.McG.PB210	ERX1906418
1714.McG.OPB210	ERX1906409
