sample_name	experiment_accession
864.6.CON.addV.noG.noW.A.lane2.NoIndex	ERX1723635
864.RIP4.2010.OTC.ET.b.lane2.NoIndex	ERX1723714
864.9.CON.addV.noG.addW.lane2.NoIndex	ERX1723655
864.2.C.noG.addV.2010a.lane2.NoIndex	ERX1723573
864.4.CON.addV.addG.noW.lane2.NoIndex	ERX1723613
864.6.C.noG.noV.2010a.lane2.NoIndex	ERX1723632
864.2.C.addG.noV.2010a.lane2.NoIndex	ERX1723572
864.12.CON.addV.noG.noW.lane2.NoIndex	ERX1723517
864.OSC.6.2009a.lane2.NoIndex	ERX1723694
864.3.CON.addV.noG.noW.A.lane2.NoIndex	ERX1723593
864.2.CON.addV.addG.noW.2.lane2.NoIndex	ERX1723576
864.RIP2.2010.OTC.ET.b.lane2.NoIndex	ERX1723712
864.12.C.addH.noV.2010b.lane2.NoIndex	ERX1723513
864.2.C.addG.addV.2010a.lane2.NoIndex	ERX1723571
864.15.C.addH.addVa.lane2.NoIndex	ERX1723552
864.6.C.addG.noV.2010a.lane2.NoIndex	ERX1723630
864.OSC.2.2009a.lane2.NoIndex	ERX1723692
864.LFSF3control.lane2.NoIndex	ERX1723673
864.4.C.noG.addV.2010a.lane2.NoIndex	ERX1723603
864.NFS004.lane2.NoIndex	ERX1723682
864.OSC.4.2009a.lane2.NoIndex	ERX1723693
864.14.CON.addV.noW.lane2.NoIndex	ERX1723549
864.4.OTC.addG.noV.2010a.lane2.NoIndex	ERX1723615
864.3.CON.addV.addG.noW.A.lane2.NoIndex	ERX1723591
864.R06.OTC.lane2.NoIndex	ERX1723709
864.3.C.noG.addV.2010a.lane2.NoIndex	ERX1723589
864.10.CON.addV.noG.addW.lane2.NoIndex	ERX1723499
864.4.CON.V.addG.noW.pooled.lane2.NoIndex	ERX1723612
864.6.C.addG.addV.2010a.lane2.NoIndex	ERX1723629
864.2.OTC.addG.noV.2010a.lane2.NoIndex	ERX1723582
864.NFS3control.lane2.NoIndex	ERX1723690
864.5.CON.addV.addG.noW.A.lane2.NoIndex	ERX1723623
864.10.CON.addV.noG.noW.lane2.NoIndex	ERX1723500
864.11.OTC.addV.noG.noW.lane2.NoIndex	ERX1723511
864.4.OTC.addV.addG.noW.2.lane2.NoIndex	ERX1723617
864.3.OTC.addG.addV.2010a.lane2.NoIndex	ERX1723595
864.SFS1.2010.OTC.ET.b.lane2.NoIndex	ERX1723719
864.10.CON.addV.noW.lane2.NoIndex	ERX1723504
864.9.OTC.addV.noG.noW.lane2.NoIndex	ERX1723659
864.15.CON.addV.noW.Fes.lane2.NoIndex	ERX1723558
864.4.CON.V.G.W.not.pooled.a.lane2.NoIndex	ERX1723605
864.4.CON.V.addG.noW.not.pooled.c.lane2.NoIndex	ERX1723611
864.15.OTC.H.Va.1.lane2.NoIndex	ERX1723562
864.2.CON.addV.noG.noW.2.lane2.NoIndex	ERX1723579
