sample_name	experiment_accession
10180.A6II	ERX1616905
10180.I3IV	ERX1616963
10180.F11II	ERX1616930
10180.L6I	ERX1617002
10180.F11IV	ERX1616931
10180.G5I	ERX1616954
10180.F5III	ERX1616943
10180.F9V	ERX1616951
10180.B6I	ERX1616918
10180.G4IV	ERX1616953
10180.A14II	ERX1616884
10180.G4II	ERX1616952
10180.G5V	ERX1616955
10180.D2III	ERX1616923
10180.D5I	ERX1616926
10180.A3III	ERX1616898
10180.J8II	ERX1616984
10180.B5III	ERX1616917
10180.D4IV	ERX1616924
10180.I4IV	ERX1616965
10180.G6V	ERX1616957
10180.I101	ERX1616960
10180.J8IV	ERX1616985
10180.A5III	ERX1616903
10180.D4V	ERX1616925
10180.F9IV	ERX1616950
10180.B5I	ERX1616916
10180.K3II	ERX1616990
10180.F8V	ERX1616949
10180.A14V	ERX1616885
10180.K3IV	ERX1616991
10180.J6III	ERX1616980
10180.F6III	ERX1616945
10180.J5I	ERX1616978
10180.G8IV	ERX1616959
10180.A4V	ERX1616901
10180.A1III	ERX1616895
10180.J7I	ERX1616982
10180.A3V	ERX1616899
10180.F10III	ERX1616929
10180.F10II	ERX1616928
10180.F4III	ERX1616941
10180.G8II	ERX1616958
10180.D2II	ERX1616922
10180.J5II	ERX1616979
10180.F3I	ERX1616938
10180.J1II	ERX1616971
10180.K5III	ERX1616993
10180.J10II	ERX1616968
10180.K6III	ERX1616994
10180.F12I	ERX1616932
10180.A1II	ERX1616894
10180.A6I	ERX1616904
10180.I4I	ERX1616964
10180.J10IV	ERX1616969
10180.A9II	ERX1616911
10180.I10II	ERX1616961
10180.F2I	ERX1616936
10180.I9II	ERX1616967
10180.F8IV	ERX1616948
10180.F7IV	ERX1616947
10180.A9I	ERX1616910
10180.F7II	ERX1616946
10180.A13III	ERX1616883
10180.J7IV	ERX1616983
10180.K5I	ERX1616992
10180.A15I	ERX1616886
10180.L6II	ERX1617003
10180.F5I	ERX1616942
10180.I3III	ERX1616962
10180.F6II	ERX1616944
10180.A11I	ERX1616878
10180.F1III	ERX1616934
10180.A2III	ERX1616897
10180.D1I	ERX1616920
10180.L12I	ERX1616996
10180.J2I	ERX1616972
10180.K2III	ERX1616988
10180.J2II	ERX1616973
10180.A4II	ERX1616900
10180.F3II	ERX1616939
10180.J3III	ERX1616974
10180.A18III	ERX1616893
10180.F4I	ERX1616940
10180.A10III	ERX1616877
10180.L5I	ERX1617000
10180.L5II	ERX1617001
10180.A2I	ERX1616896
10180.A10I	ERX1616876
10180.A8II	ERX1616909
10180.A5II	ERX1616902
10180.B6II	ERX1616919
10180.J9III	ERX1616986
10180.I9I	ERX1616966
10180.J1I	ERX1616970
10180.A17II	ERX1616890
10180.A18I	ERX1616892
10180.J6IV	ERX1616981
10180.J4III	ERX1616977
10180.A7II	ERX1616907
10180.A8I	ERX1616908
10180.A12III	ERX1616881
10180.J3IV	ERX1616975
10180.L3II	ERX1616999
10180.F1IV	ERX1616935
10180.A7I	ERX1616906
10180.B4I	ERX1616914
10180.A16I	ERX1616888
10180.F12II	ERX1616933
10180.A13I	ERX1616882
10180.A17III	ERX1616891
10180.A15II	ERX1616887
10180.J4I	ERX1616976
10180.D5IV	ERX1616927
10180.A11III	ERX1616879
10180.F2II	ERX1616937
10180.L3I	ERX1616998
10180.G6II	ERX1616956
10180.J9IV	ERX1616987
10180.B3I	ERX1616912
10180.A12I	ERX1616880
10180.B4III	ERX1616915
10180.L12II	ERX1616997
10180.D1II	ERX1616921
10180.K2IV	ERX1616989
10180.A16II	ERX1616889
10180.B3II	ERX1616913
10180.K6IV	ERX1616995
