sample_name	experiment_accession
1043.Hopland.14C.Wood.TP1.04	ERX1617909
1043.Hopland.14C.Wood.TP1.01	ERX1617906
1043.Hopland.14C.Wood.TP1.02	ERX1617907
1043.Hopland.14C.Wood.TP1.03	ERX1617908
1043.Tabonuco.20C.BC.TP1.01	ERX1617926
1043.Hopland.20C.Wood.TP1.04	ERX1617921
1043.Tabonuco.20C.Start.T0.02	ERX1617935
1043.Tabonuco.20C.Wood.TP1.01	ERX1617936
1043.Start.Hopland.20C.T0.03	ERX1617924
1043.Hopland.14C.BC.TP1.04	ERX1617901
1043.Tabonuco.20C.Control.TP1.01	ERX1617930
1043.Tabonuco.20C.Wood.TP1.03	ERX1617938
1043.Tabonuco.20C.Wood.TP1.02	ERX1617937
1043.Tabonuco.20C.Control.TP1.04	ERX1617933
1043.Hopland.14C.BC.TP1.01	ERX1617898
1043.Hopland.14C.BC.TP1.02	ERX1617899
1043.Hopland.14C.BC.TP1.03	ERX1617900
1043.Tabonuco.20C.BC.TP1.04	ERX1617929
1043.Tabonuco.20C.Control.TP1.03	ERX1617932
1043.Tabonuco.26C.Start.T0.03	ERX1617948
1043.Tabonuco.26C.Start.T0.04	ERX1617949
1043.Tabonuco.20C.Start.T0.01	ERX1617934
1043.Tabonuco.20C.Wood.TP1.04	ERX1617939
1043.Tabonuco.26C.BC.TP1.04	ERX1617943
1043.Tabonuco.26C.BC.TP1.03	ERX1617942
1043.Tabonuco.26C.BC.TP1.02	ERX1617941
1043.Tabonuco.26C.BC.TP1.01	ERX1617940
1043.Hopland.20C.BC.TP1.03	ERX1617912
1043.Hopland.20C.BC.TP1.02	ERX1617911
1043.Hopland.20C.BC.TP1.01	ERX1617910
1043.Hopland.20C.BC.TP1.04	ERX1617913
1043.Hopland.20C.Wood.TP1.03	ERX1617920
1043.Tabonuco.20C.BC.TP1.03	ERX1617928
1043.Hopland.14C.Control.TP1.02	ERX1617903
1043.Hopland.20C.Control.TP1.02	ERX1617915
1043.Hopland.20C.Control.TP1.03	ERX1617916
1043.Hopland.20C.Control.TP1.01	ERX1617914
1043.Hopland.14C.Control.TP1.01	ERX1617902
1043.Hopland.20C.Control.TP1.04	ERX1617917
1043.Tabonuco.26C.Control.TP1.02	ERX1617945
1043.Tabonuco.26C.Control.TP1.03	ERX1617946
1043.Tabonuco.26C.Control.TP1.01	ERX1617944
1043.Start.Hopland.14C.T0.02	ERX1617923
1043.Tabonuco.26C.Control.TP1.04	ERX1617947
1043.Start.Hopland.14C.T0.01	ERX1617922
1043.Hopland.14C.Control.TP1.03	ERX1617904
1043.Hopland.20C.Wood.TP1.02	ERX1617919
1043.Hopland.20C.Wood.TP1.01	ERX1617918
1043.Tabonuco.20C.BC.TP1.02	ERX1617927
1043.Hopland.14C.Control.TP1.04	ERX1617905
1043.Start.Hopland.20C.T0.04	ERX1617925
1043.Tabonuco.26C.Wood.TP1.04	ERX1617953
1043.Tabonuco.26C.Wood.TP1.03	ERX1617952
1043.Tabonuco.26C.Wood.TP1.02	ERX1617951
1043.Tabonuco.26C.Wood.TP1.01	ERX1617950
1043.Tabonuco.20C.Control.TP1.02	ERX1617931
