sample_name	experiment_accession
1037.IDF1.OM2C0.ORG	ERX1617685
1037.IDF2.REF.MIN	ERX1617690
1037.IDF3.REF.MIN	ERX1617694
1037.IDF2.OM2C0.ORG	ERX1617689
1037.SBS1.OM2C0.MIN	ERX1617696
1037.SBS1.OM2C0.ORG	ERX1617697
1037.IDF1.REF.ORG	ERX1617687
1037.SBS1.REF.ORG	ERX1617699
1037.IDF2.OM2C0.MIN	ERX1617688
1037.SBS2.OM2C0.ORG	ERX1617701
1037.SBS2.REF.ORG	ERX1617703
1037.SBS1.REF.MIN	ERX1617698
1037.IDF3.REF.ORG	ERX1617695
1037.SBS3.OM2C0.ORG	ERX1617705
1037.IDF3.OM2C0.MIN	ERX1617692
1037.IDF1.OM2C0.MIN	ERX1617684
1037.SBS3.OM2C0.MIN	ERX1617704
1037.SBS3.REF.ORG	ERX1617707
1037.IDF2.REF.ORG	ERX1617691
1037.IDF1.REF.MIN	ERX1617686
1037.SBS2.REF.MIN	ERX1617702
1037.IDF3.OM2C0.ORG	ERX1617693
1037.SBS3.REF.MIN	ERX1617706
1037.SBS2.OM2C0.MIN	ERX1617700
