sample_name	experiment_accession
1711.KAM4.2	ERX1906319
1711.KAJ7.1	ERX1906300
1711.KAJ7.2	ERX1906301
1711.KAJ7.3	ERX1906302
1711.KAJ6.1	ERX1906297
1711.KAJ3.1	ERX1906288
1711.KAJ3.2	ERX1906289
1711.KAJ3.3	ERX1906290
1711.KFM2.3	ERX1906339
1711.KFM3.1	ERX1906340
1711.KFM2.2	ERX1906338
1711.KAJ5.2	ERX1906295
1711.KAJ5.3	ERX1906296
1711.KAM9.1	ERX1906331
1711.KAJ5.1	ERX1906294
1711.KAJ4.3	ERX1906293
1711.KAJ4.2	ERX1906292
1711.KAJ4.1	ERX1906291
1711.KAM5.3	ERX1906323
1711.KAM4.1	ERX1906318
1711.KAM5.2	ERX1906322
1711.KAJ8.3	ERX1906305
1711.KAJ8.2	ERX1906304
1711.KAJ8.1	ERX1906303
1711.KAJ6.3	ERX1906299
1711.KFM5.1	ERX1906346
1711.KAM6.1	ERX1906324
1711.KAM3.1	ERX1906315
1711.KFM3.3	ERX1906342
1711.KAM3.3	ERX1906317
1711.KAJ6.2	ERX1906298
1711.KAJ9.2	ERX1906307
1711.KAJ9.3	ERX1906308
1711.KFM2.1	ERX1906337
1711.KAJ9.1	ERX1906306
1711.KAM7.1	ERX1906327
1711.KFM3.2	ERX1906341
1711.KAM2.1	ERX1906312
1711.KAM2.2	ERX1906313
1711.KAM2.3	ERX1906314
1711.KAM1.3	ERX1906311
1711.KAM1.2	ERX1906310
1711.KAM1.1	ERX1906309
1711.KAM8.1	ERX1906329
1711.KAM8.3	ERX1906330
1711.KAM3.2	ERX1906316
1711.KFM9.2	ERX1906358
1711.KFM9.3	ERX1906359
1711.KFM8.1	ERX1906355
1711.KAM5.1	ERX1906321
1711.KFM6.2	ERX1906350
1711.KFM4.1	ERX1906343
1711.KFM4.3	ERX1906345
1711.KFM4.2	ERX1906344
1711.KFM8.2	ERX1906356
1711.KFM8.3	ERX1906357
1711.KFM1.2	ERX1906335
1711.KFM5.2	ERX1906347
1711.KFM5.3	ERX1906348
1711.KFM6.3	ERX1906351
1711.KAM9.3	ERX1906333
1711.KFM6.1	ERX1906349
1711.KFM1.3	ERX1906336
1711.KAM9.2	ERX1906332
1711.KFM7.2	ERX1906353
1711.KFM7.3	ERX1906354
1711.KFM7.1	ERX1906352
1711.KAM4.3	ERX1906320
1711.KAM6.2	ERX1906325
1711.KAM6.3	ERX1906326
1711.KAJ1.2	ERX1906283
1711.KAJ1.3	ERX1906284
1711.KAM7.3	ERX1906328
1711.KAJ1.1	ERX1906282
1711.KAJ2.1	ERX1906285
1711.KFM1.1	ERX1906334
1711.KAJ2.3	ERX1906287
1711.KAJ2.2	ERX1906286
