sample_name	experiment_accession
10363.AC16	ERX1736127
10363.AC17	ERX1736128
10363.AC14	ERX1736125
10363.AC15	ERX1736126
10363.AC12	ERX1736123
10363.AC13	ERX1736124
10363.AC10	ERX1736121
10363.AC11	ERX1736122
10363.AC52	ERX1736167
10363.AC53	ERX1736168
10363.AC50	ERX1736165
10363.AC51	ERX1736166
10363.AC56	ERX1736171
10363.AC58	ERX1736173
10363.AC18	ERX1736129
10363.AC19	ERX1736130
10363.AC8	ERX1736176
10363.AC9	ERX1736177
10363.AC4	ERX1736153
10363.AC5	ERX1736164
10363.AC6	ERX1736174
10363.AC7	ERX1736175
10363.AC1	ERX1736120
10363.AC2	ERX1736131
10363.AC3	ERX1736142
10363.BLANK.CSU1.8D	ERX1736179
10363.BLANK.CSU1.8E	ERX1736180
10363.BLANK.CSU1.8F	ERX1736181
10363.BLANK.CSU1.8G	ERX1736182
10363.AC29	ERX1736141
10363.AC28	ERX1736140
10363.AC27	ERX1736139
10363.AC26	ERX1736138
10363.AC25	ERX1736137
10363.AC24	ERX1736136
10363.AC23	ERX1736135
10363.AC22	ERX1736134
10363.AC21	ERX1736133
10363.AC20	ERX1736132
10363.AC49	ERX1736163
10363.AC48	ERX1736162
10363.AC41	ERX1736155
10363.AC40	ERX1736154
10363.AC43	ERX1736157
10363.AC42	ERX1736156
10363.AC45	ERX1736159
10363.AC44	ERX1736158
10363.AC47	ERX1736161
10363.AC57	ERX1736172
10363.BLANK.CSU1.8C	ERX1736178
10363.AC55	ERX1736170
10363.AC54	ERX1736169
10363.BLANK.CSU1.8H	ERX1736183
10363.AC46	ERX1736160
10363.AC38	ERX1736151
10363.AC39	ERX1736152
10363.AC30	ERX1736143
10363.AC31	ERX1736144
10363.AC32	ERX1736145
10363.AC33	ERX1736146
10363.AC34	ERX1736147
10363.AC35	ERX1736148
10363.AC36	ERX1736149
10363.AC37	ERX1736150
