sample_name	experiment_accession
1030.TVF.Control.Loc5.D0.Rep1	ERX1615186
1030.TVF.Control.Loc5.D0.Rep2	ERX1615187
1030.TVF.Control.Loc5.D0.Rep3	ERX1615188
1030.TVF.Control.Loc5.D0.Rep4	ERX1615189
1030.TVF.Control.Loc5.D0.Rep5	ERX1615190
1030.TVF.2004.Loc4.D10.Rep5	ERX1615085
1030.TVF.2004.Loc4.D10.Rep4	ERX1615084
1030.TVF.2010.Loc3.D0.Rep3	ERX1615118
1030.TVF.2010.Loc3.D0.Rep2	ERX1615117
1030.TVF.2010.Loc3.D0.Rep1	ERX1615116
1030.TVF.2010.Loc3.D0.Rep5	ERX1615120
1030.TVF.2010.Loc3.D0.Rep4	ERX1615119
1030.TVF.2010.Loc4.D10.Rep2	ERX1615132
1030.TVF.2010.Loc4.D10.Rep3	ERX1615133
1030.TVF.2010.Loc4.D10.Rep1	ERX1615131
1030.TVF.2010.Loc4.D10.Rep4	ERX1615134
1030.TVF.2010.Loc4.D10.Rep5	ERX1615135
1030.TVF.Control.Loc1.D0.Rep4	ERX1615149
1030.TVF.Control.Loc1.D0.Rep5	ERX1615150
1030.TVF.Control.Loc1.D0.Rep1	ERX1615146
1030.TVF.Control.Loc1.D0.Rep2	ERX1615147
1030.TVF.Control.Loc1.D0.Rep3	ERX1615148
1030.TVF.Control.Loc1.D10.Rep2	ERX1615152
1030.TVF.Control.Loc1.D10.Rep3	ERX1615153
1030.TVF.Control.Loc1.D10.Rep1	ERX1615151
1030.TVF.Control.Loc1.D10.Rep4	ERX1615154
1030.TVF.Control.Loc1.D10.Rep5	ERX1615155
1030.TVF.Control.Loc4.D0.Rep4	ERX1615179
1030.TVF.2010.Loc1.D0.Rep1	ERX1615096
1030.TVF.2010.Loc1.D0.Rep3	ERX1615098
1030.TVF.2010.Loc1.D0.Rep2	ERX1615097
1030.TVF.2010.Loc1.D0.Rep5	ERX1615100
1030.TVF.2010.Loc1.D0.Rep4	ERX1615099
1030.TVF.2004.Loc5.D0.Rep1	ERX1615086
1030.TVF.2004.Loc5.D0.Rep2	ERX1615087
1030.TVF.2004.Loc5.D0.Rep3	ERX1615088
1030.TVF.2004.Loc5.D0.Rep4	ERX1615089
1030.TVF.2004.Loc5.D0.Rep5	ERX1615090
1030.TVF.2010.Loc1.D10.Rep1	ERX1615101
1030.TVF.2010.Loc1.D10.Rep3	ERX1615103
1030.TVF.2010.Loc1.D10.Rep2	ERX1615102
1030.TVF.2010.Loc1.D10.Rep5	ERX1615105
1030.TVF.2010.Loc1.D10.Rep4	ERX1615104
1030.TVF.Control.Loc4.D10.Rep5	ERX1615185
1030.TVF.Control.Loc4.D10.Rep4	ERX1615184
1030.TVF.2010.Loc3.D10.Rep5	ERX1615125
1030.TVF.2010.Loc3.D10.Rep4	ERX1615124
1030.TVF.2010.Loc3.D10.Rep3	ERX1615123
1030.TVF.2010.Loc3.D10.Rep2	ERX1615122
1030.TVF.Control.Loc4.D10.Rep3	ERX1615183
1030.TVF.Control.Loc4.D10.Rep2	ERX1615182
1030.TVF.2004.Loc4.D10.Rep1	ERX1615081
1030.TVF.2004.Loc3.D10.Rep1	ERX1615071
1030.TVF.2004.Loc3.D10.Rep2	ERX1615072
1030.TVF.2004.Loc3.D10.Rep3	ERX1615073
1030.TVF.2004.Loc3.D10.Rep4	ERX1615074
1030.TVF.2004.Loc3.D10.Rep5	ERX1615075
1030.TVF.Control.Loc4.D0.Rep1	ERX1615176
1030.TVF.2010.Loc2.D10.Rep5	ERX1615115
1030.TVF.Control.Loc4.D0.Rep3	ERX1615178
1030.TVF.Control.Loc4.D0.Rep2	ERX1615177
1030.TVF.Control.Loc4.D0.Rep5	ERX1615180
1030.TVF.2010.Loc2.D10.Rep1	ERX1615111
1030.TVF.2010.Loc2.D10.Rep2	ERX1615112
1030.TVF.2010.Loc2.D10.Rep3	ERX1615113
