sample_name	experiment_accession
1035.UQ409	ERX1925690
1035.UQ405	ERX1925689
1035.UQ11002	ERX1925636
1035.UQ11007	ERX1925637
1035.UQ377	ERX1925686
1035.UQ523	ERX1925701
1035.UQ521	ERX1925700
1035.UQ085	ERX1925633
1035.UQ279	ERX1925670
1035.UQ089	ERX1925634
1035.UQ272	ERX1925669
1035.UQ271	ERX1925668
1035.UQ171	ERX1925656
1035.UQ173	ERX1925657
1035.UQ001	ERX1925628
1035.UQ841	ERX1925724
1035.UQ843	ERX1925726
1035.UQ842	ERX1925725
1035.UQ870	ERX1925740
1035.UQ301	ERX1925675
1035.UQ269	ERX1925667
1035.UQ262	ERX1925666
1035.UQ302	ERX1925676
1035.UQ871	ERX1925741
1035.UQ872	ERX1925742
1035.UQ635	ERX1925713
1035.UQ632	ERX1925712
1035.UQ631	ERX1925711
1035.UQ878	ERX1925744
1035.UQ879	ERX1925745
1035.UQ033	ERX1925631
1035.UQ382	ERX1925687
1035.UQ373	ERX1925685
1035.UQ11123.1.4	ERX1925649
1035.UQ423	ERX1925693
1035.UQ422	ERX1925692
1035.UQ892	ERX1925748
1035.UQ867	ERX1925739
1035.UQ11108.1.6	ERX1925646
1035.UQ311	ERX1925677
1035.UQ866	ERX1925738
1035.UQ865	ERX1925737
1035.UQ626	ERX1925710
1035.UQ863	ERX1925735
1035.UQ862	ERX1925734
1035.UQ861	ERX1925733
1035.UQ585	ERX1925705
1035.UQ586	ERX1925706
1035.UQ392	ERX1925688
1035.UQ888	ERX1925747
1035.UQ11015	ERX1925642
1035.UQ11111.2.9	ERX1925647
1035.UQ510	ERX1925697
1035.UQ517	ERX1925699
1035.UQ514	ERX1925698
1035.UQ246	ERX1925664
1035.UQ873	ERX1925743
1035.UQ857	ERX1925731
1035.UQ886	ERX1925746
1035.UQ249	ERX1925665
1035.UQ592	ERX1925707
1035.UQ322	ERX1925678
1035.UQ599	ERX1925708
1035.UQ845	ERX1925727
1035.UQ817	ERX1925718
1035.UQ818	ERX1925719
1035.UQ11127	ERX1925652
1035.UQ11125	ERX1925650
1035.UQ562	ERX1925703
1035.UQ11117.0.8	ERX1925648
1035.UQ609	ERX1925709
1035.UQ134	ERX1925654
1035.UQ330	ERX1925680
1035.UQ040	ERX1925632
1035.UQ234	ERX1925663
1035.UQ801	ERX1925714
1035.UQ802	ERX1925715
1035.UQ804	ERX1925716
1035.UQ807	ERX1925717
1035.UQ578	ERX1925704
1035.UQ325	ERX1925679
1035.UQ100	ERX1925635
1035.UQ223	ERX1925662
1035.UQ184	ERX1925658
1035.UQ114	ERX1925653
1035.UQ832	ERX1925722
1035.UQ833	ERX1925723
1035.UQ461	ERX1925694
1035.UQ11020	ERX1925645
1035.UQ356	ERX1925682
1035.UQ351	ERX1925681
1035.UQ215	ERX1925661
1035.UQ829	ERX1925721
1035.UQ11126.0.3	ERX1925651
1035.UQ825	ERX1925720
1035.UQ298	ERX1925673
1035.UQ299	ERX1925674
1035.UQ291	ERX1925672
1035.UQ556	ERX1925702
1035.UQ11019	ERX1925644
1035.UQ11017	ERX1925643
1035.UQ11014	ERX1925641
1035.UQ415	ERX1925691
1035.UQ11012	ERX1925639
1035.UQ11013	ERX1925640
1035.UQ11010	ERX1925638
1035.UQ361	ERX1925683
1035.UQ362	ERX1925684
1035.UQ864	ERX1925736
1035.UQ203	ERX1925659
1035.UQ205	ERX1925660
1035.UQ496	ERX1925696
1035.UQ858	ERX1925732
1035.UQ491	ERX1925695
1035.UQ856	ERX1925730
1035.UQ013	ERX1925629
1035.UQ168	ERX1925655
1035.UQ855	ERX1925729
1035.UQ852	ERX1925728
1035.UQ014	ERX1925630
1035.UQ288	ERX1925671
