sample_name	experiment_accession
10142.011.3.17.2013.Soil.LHip.SiteC	ERX1165586
10142.SoilControl.2.27.2013.Soil.ctrl.ctrlA	ERX1165779
10142.SoilControl.2.27.2013.Soil.ctrl.ctrlC	ERX1165781
10142.SoilControl.2.27.2013.Soil.ctrl.ctrlB	ERX1165780
10142.011.4.14.2013.Skin.PBS.LHip.CW	ERX1165702
10142.011.3.26.2013.Soil.LHip.SiteC	ERX1165638
10142.009.3.20.2013.Soil.LKnee.SiteD	ERX1165353
10142.009.3.18.2013.Soil.Head.SiteA	ERX1165336
10142.011.3.6.2013.Soil.Head.SiteA	ERX1165673
10142.011.3.4.2013.Soil.Head.SiteA	ERX1165662
10142.009.3.23.2013.Skin.PBS.RHip.BW	ERX1165368
10142.011.4.25.2013.Soil.LHip.SiteC	ERX1165734
10142.SoilControl.3.7.2013.Soil.ctrl.ctrlA	ERX1165860
10142.011.3.11.2013.Soil.RHip.SiteB	ERX1165555
10142.009.3.9.2013.Soil.RHip.SiteB	ERX1165441
10142.011.3.17.2013.Soil.Head.SiteA	ERX1165585
10142.009.3.1.2013.Skin.PBS.RHip.BW	ERX1165287
10142.011.3.25.2013.Skin.PBS.LHip.CW	ERX1165630
10142.011.6.10.2013.Soil.Head.SiteA	ERX1165765
10142.009.4.2.2013.Skin.PBS.RHip.BW	ERX1165465
10142.009.4.14.2013.Soil.LKnee.SiteD	ERX1165454
10142.009.2.26.2013.Skin.PBS.LHip.CW	ERX1165270
10142.011.3.3.2013.Skin.PBS.RHip.BW	ERX1165650
10142.009.4.21.2013.Soil.LHip.SiteC	ERX1165474
10142.SoilControl.3.3.2013.Soil.ctrl.ctrlA	ERX1165845
10142.011.3.20.2013.Soil.Head.SiteA	ERX1165604
10142.009.3.5.2013.Soil.Head.SiteA	ERX1165416
10142.SoilControl.3.3.2013.Soil.ctrl.ctrlB	ERX1165846
10142.011.4.5.2013.Soil.LHip.SiteC	ERX1165745
10142.011.3.5.2013.Soil.RHip.SiteB	ERX1165672
10142.011.3.16.2013.Soil.LHip.SiteC	ERX1165579
10142.009.3.24.2013.Soil.LHip.SiteC	ERX1165374
10142.011.3.13.2013.Skin.PBS.RHip.BW	ERX1165562
10142.009.3.30.2013.Soil.LHip.SiteC	ERX1165406
10142.SoilControl.4.14.2013.Soil.ctrl.ctrlC	ERX1165874
10142.SoilControl.4.14.2013.Soil.ctrl.ctrlB	ERX1165873
10142.009.3.18.2013.Soil.LHip.SiteC	ERX1165337
10142.011.7.8.2013.Skin.PBS.LHip.CW	ERX1165769
10142.009.6.10.2013.Soil.RHip.SiteB	ERX1165515
10142.009.3.15.2013.Soil.RHip.SiteB	ERX1165324
10142.011.3.7.2013.Skin.PBS.LKnee.DW	ERX1165678
10142.SoilControl.3.13.2013.Soil.ctrl.ctrlB	ERX1165798
10142.SoilControl.3.13.2013.Soil.ctrl.ctrlA	ERX1165797
10142.011.3.23.2013.Skin.PBS.RHip.BW	ERX1165621
10142.009.2.26.2013.Skin.PBS.RHip.BW	ERX1165272
10142.011.3.13.2013.Skin.PBS.LHip.CW	ERX1165560
10142.009.3.3.2013.Skin.PBS.LHip.CW	ERX1165395
