sample_name	experiment_accession
1579.H.3.15	ERX1660379
1579.M.2.30	ERX1660411
1579.F.4.0	ERX1660360
1579.D.1.0	ERX1660341
1579.MF.2.30	ERX1660422
1579.M.1.15	ERX1660408
1579.WF.3.0	ERX1660440
1579.WM.4.30	ERX1660459
1579.WF.1.15	ERX1660435
1579.H.2.15	ERX1660376
1579.D.2.30	ERX1660346
1579.WM.1.30	ERX1660453
1579.M.3.30	ERX1660414
1579.E.1.0	ERX1660349
1579.F.3.30	ERX1660359
1579.WF.3.ORG	ERX1660442
1579.J.4.0	ERX1660404
1579.H.4.30	ERX1660382
1579.I.3.0	ERX1660389
1579.WF.5.30	ERX1660449
1579.E.1.30	ERX1660351
1579.G.1.30	ERX1660365
1579.MF.1.30	ERX1660420
1579.J.1.0	ERX1660395
1579.G.1.0	ERX1660363
1579.I.1.0	ERX1660383
1579.G.2.0	ERX1660366
1579.C.2.0	ERX1660334
1579.I.4.0	ERX1660392
1579.I.2.15	ERX1660387
1579.E.2.15	ERX1660353
1579.WF.1.0	ERX1660434
1579.WF.3.15	ERX1660441
1579.M.2.15	ERX1660410
1579.MF.2.15	ERX1660421
1579.M.1.30	ERX1660409
1579.WM.1.0	ERX1660451
1579.WF.1.ORG	ERX1660436
1579.MW.4.15	ERX1660432
1579.C.3.15	ERX1660336
1579.WF.4.30	ERX1660445
1579.J.2.0	ERX1660398
1579.WM.Cow	ERX1660460
1579.G.4.0	ERX1660371
1579.M.3.15	ERX1660413
1579.WF.2.ORG	ERX1660439
1579.D.2.15	ERX1660345
1579.C.3.30	ERX1660337
1579.MW.3.30	ERX1660431
1579.WF.5.ORG	ERX1660450
1579.WM.3.30	ERX1660457
1579.WF.2.15	ERX1660438
1579.G.3.15	ERX1660369
1579.WF.5.15	ERX1660448
1579.C.4.0	ERX1660338
1579.G.1.15	ERX1660364
1579.M.3.0	ERX1660412
1579.I.2.0	ERX1660386
1579.M.1.0	ERX1660407
1579.MW.2.30	ERX1660429
1579.I.4.30	ERX1660394
1579.WF.5.0	ERX1660447
1579.I.3.30	ERX1660391
1579.F.2.0	ERX1660358
1579.MW.1.15	ERX1660425
1579.WM.2.30	ERX1660455
1579.D.1.15	ERX1660342
1579.G.2.15	ERX1660367
1579.J.3.0	ERX1660401
1579.MW.2.0	ERX1660427
1579.WF.4.15	ERX1660444
1579.MF.3.0	ERX1660424
1579.M.4.15	ERX1660416
1579.J.4.30	ERX1660406
1579.MF.1.0	ERX1660418
1579.J.3.15	ERX1660402
1579.MW.3.15	ERX1660430
1579.D.2.0	ERX1660344
1579.E.2.0	ERX1660352
1579.G.3.30	ERX1660370
1579.WM.3.15	ERX1660456
1579.I.4.15	ERX1660393
1579.M.4.0	ERX1660415
1579.F.4.30	ERX1660362
1579.I.1.15	ERX1660384
1579.WF.4.ORG	ERX1660446
1579.H.2.0	ERX1660375
1579.C.4.30	ERX1660340
1579.J.1.30	ERX1660397
1579.MW.2.15	ERX1660428
1579.J.2.15	ERX1660399
1579.WM.2.15	ERX1660454
1579.H.4.0	ERX1660381
1579.WF.4.0	ERX1660443
1579.H.3.30	ERX1660380
1579.E.3.0	ERX1660355
1579.F.1.0	ERX1660357
1579.I.3.15	ERX1660390
1579.D.1.30	ERX1660343
1579.MW.1.30	ERX1660426
1579.MW.4.30	ERX1660433
1579.J.2.30	ERX1660400
1579.M.4.30	ERX1660417
1579.D.4.0	ERX1660348
1579.J.4.15	ERX1660405
1579.WM.1.15	ERX1660452
1579.H.2.30	ERX1660377
1579.E.4.0	ERX1660356
1579.WM.4.0	ERX1660458
1579.J.3.30	ERX1660403
1579.C.1.0	ERX1660333
1579.I.1.30	ERX1660385
1579.F.4.15	ERX1660361
1579.D.3.0	ERX1660347
1579.H.1.15	ERX1660374
1579.E.1.15	ERX1660350
1579.C.3.0	ERX1660335
1579.H.3.0	ERX1660378
1579.C.4.15	ERX1660339
1579.G.4.15	ERX1660372
1579.MF.1.15	ERX1660419
1579.G.3.0	ERX1660368
1579.J.1.15	ERX1660396
1579.H.1.0	ERX1660373
1579.WF.2.0	ERX1660437
1579.E.2.30	ERX1660354
1579.MF.2.ORG	ERX1660423
1579.I.2.30	ERX1660388
