sample_name	experiment_accession
10082.v04.st3.r4	ERX1832180
10082.v04.st3.r3	ERX1832179
10082.v01.st3.r1	ERX1832141
10082.v04.st3.r2	ERX1832178
10082.v17.st2.r4	ERX1832343
10082.v17.st2.r1	ERX1832340
10082.v17.st2.r2	ERX1832341
10082.v17.st2.r3	ERX1832342
10082.v07.st3.r4	ERX1832221
10082.v07.st3.r2	ERX1832219
10082.v07.st3.r3	ERX1832220
10082.v07.st3.r1	ERX1832218
10082.v18.st3.r2	ERX1832357
10082.v18.st3.r3	ERX1832358
10082.v18.st3.r1	ERX1832356
10082.v15.st2.r1	ERX1832310
10082.v18.st3.r4	ERX1832359
10082.v16.st3.r1	ERX1832332
10082.v16.st3.r2	ERX1832333
10082.v16.st3.r3	ERX1832334
10082.v16.st3.r4	ERX1832335
10082.v01.st3.r2	ERX1832142
10082.v15.st1.r3	ERX1832308
10082.v03.st2.r1	ERX1832161
10082.v01.st1.r2	ERX1832134
10082.v03.st2.r3	ERX1832163
10082.v03.st2.r2	ERX1832162
10082.v03.st2.r4	ERX1832164
10082.v10.st3.r2	ERX1832255
10082.v11.st3.r4	ERX1832269
10082.v13.st3.r4	ERX1832293
10082.v13.st3.r3	ERX1832292
10082.v13.st3.r2	ERX1832291
10082.v13.st3.r1	ERX1832290
10082.v11.st3.r2	ERX1832267
10082.v11.st2.r4	ERX1832265
10082.v11.st2.r2	ERX1832263
10082.v11.st2.r3	ERX1832264
10082.v11.st2.r1	ERX1832262
10082.v18.st1.r3	ERX1832350
10082.v05.st1.r4	ERX1832184
10082.v14.st1.r1	ERX1832294
10082.v14.st1.r2	ERX1832295
10082.v16.st1.sv2mm.r2	ERX1832323
10082.v14.st1.r4	ERX1832297
10082.v16.st1.r4	ERX1832321
10082.v05.st3.r1	ERX1832189
10082.v05.st3.r2	ERX1832190
10082.v07.st1.sv53um.r2	ERX1832213
10082.v07.st1.sv53um.r3	None
10082.v07.st1.sv53um.r1	ERX1832212
10082.v05.st3.r4	ERX1832192
10082.v04.st1.r2	ERX1832170
10082.v02.st2.r4	ERX1832152
10082.v02.st2.r2	ERX1832150
10082.v02.st2.r3	ERX1832151
10082.v02.st2.r1	ERX1832149
10082.v18.st2.r1	ERX1832352
10082.v15.st1.r2	ERX1832307
10082.v15.st1.r1	ERX1832306
10082.v16.st2.r4	ERX1832331
10082.v16.st2.r3	ERX1832330
10082.v16.st2.r2	ERX1832329
10082.v16.st2.r1	ERX1832328
10082.v16.st1.r1	ERX1832318
10082.v12.st2.r3	ERX1832276
10082.v12.st2.r2	ERX1832275
10082.v12.st2.r1	ERX1832274
10082.v12.st1.r1	ERX1832270
10082.v12.st1.r4	ERX1832273
10082.v12.st2.r4	ERX1832277
10082.v07.st1.sv2mm.r3	ERX1832211
10082.v07.st1.sv2mm.r2	ERX1832210
10082.v07.st1.sv2mm.r1	ERX1832209
10082.v17.st3.r3	ERX1832346
10082.v17.st3.r2	ERX1832345
10082.v17.st3.r1	ERX1832344
10082.v17.st3.r4	ERX1832347
10082.v09.st3.r4	ERX1832245
10082.v09.st3.r1	ERX1832242
10082.v13.st2.r2	ERX1832287
10082.v09.st3.r3	ERX1832244
10082.v16.st1.r3	ERX1832320
10082.v07.st2.r4	ERX1832217
10082.v07.st2.r1	ERX1832214
10082.v09.st3.r2	ERX1832243
10082.v07.st2.r3	ERX1832216
10082.v07.st2.r2	ERX1832215
10082.v07.st1.r1	ERX1832205
10082.v06.st2.r3	ERX1832199
10082.v14.st3.r4	ERX1832305
10082.v06.st2.r1	ERX1832197
10082.v14.st3.r2	ERX1832303
10082.v14.st3.r3	ERX1832304
10082.v06.st2.r4	ERX1832200
10082.v14.st3.r1	ERX1832302
10082.v05.st1.r2	ERX1832182
10082.v04.st2.r4	ERX1832176
10082.v13.st2.r3	ERX1832288
10082.v11.st1.r4	ERX1832261
10082.v11.st1.r3	ERX1832260
10082.v11.st1.r2	ERX1832259
10082.v11.st1.r1	ERX1832258
10082.v03.st1.r1	ERX1832157
10082.v10.st2.r1	ERX1832250
10082.v13.st1.r4	ERX1832285
10082.v10.st2.r3	ERX1832252
10082.v10.st2.r2	ERX1832251
10082.v13.st1.r1	ERX1832282
10082.v10.st2.r4	ERX1832253
10082.v13.st1.r3	ERX1832284
10082.v13.st1.r2	ERX1832283
10082.v18.st1.r4	ERX1832351
10082.v19.st1.r3	ERX1832362
10082.v18.st1.r1	ERX1832348
10082.v18.st1.r2	ERX1832349
10082.v19.st2.r3	ERX1832366
10082.v06.st2.r2	ERX1832198
10082.v06.st1.r2	ERX1832194
10082.v17.st1.r4	ERX1832339
10082.v12.st1.r3	ERX1832272
10082.v06.st1.r1	ERX1832193
10082.v08.st3.r4	ERX1832233
10082.v08.st3.r3	ERX1832232
10082.v08.st3.r2	ERX1832231
10082.v08.st3.r1	ERX1832230
10082.v05.st2.r3	ERX1832187
10082.v19.st2.r4	ERX1832367
10082.v19.st1.r4	ERX1832363
10082.v19.st2.r2	ERX1832365
10082.v19.st1.r2	ERX1832361
10082.v19.st1.r1	ERX1832360
10082.v19.st2.r1	ERX1832364
10082.v01.st3.r4	ERX1832144
10082.v02.st1.r4	ERX1832148
10082.v02.st1.r3	ERX1832147
10082.v05.st2.r1	ERX1832185
10082.v05.st2.r4	ERX1832188
10082.v02.st3.r4	ERX1832156
10082.v06.st1.r4	ERX1832196
10082.v05.st1.r1	ERX1832181
10082.v02.st1.r2	ERX1832146
10082.v06.st1.r3	ERX1832195
10082.v03.st3.r1	ERX1832165
10082.v02.st1.r1	ERX1832145
10082.v09.st1.r3	ERX1832236
10082.v05.st1.r3	ERX1832183
10082.v02.st3.r1	ERX1832153
10082.v01.st3.r3	ERX1832143
10082.v15.st3.r1	ERX1832314
10082.v15.st3.r3	ERX1832316
10082.v15.st3.r2	ERX1832315
10082.v15.st3.r4	ERX1832317
10082.v04.st2.r2	ERX1832174
10082.v06.st3.r1	ERX1832201
10082.v05.st3.r3	ERX1832191
10082.v16.st1.sv2mm.r1	ERX1832322
10082.v09.st1.r4	ERX1832237
10082.v16.st1.sv2mm.r3	ERX1832324
10082.v14.st2.r4	ERX1832301
10082.v04.st3.r1	ERX1832177
10082.v01.st2.r3	ERX1832139
10082.v05.st2.r2	ERX1832186
10082.v14.st1.r3	ERX1832296
10082.v01.st1.r3	ERX1832135
10082.v06.st3.r4	ERX1832204
10082.v09.st2.r3	ERX1832240
10082.v09.st2.r2	ERX1832239
10082.v09.st2.r1	ERX1832238
10082.v10.st1.r2	ERX1832247
10082.v09.st2.r4	ERX1832241
10082.v03.st3.r2	ERX1832166
10082.v03.st3.r3	ERX1832167
10082.v10.st1.r3	ERX1832248
10082.v10.st3.r4	ERX1832257
10082.v03.st3.r4	ERX1832168
10082.v02.st3.r2	ERX1832154
10082.v10.st1.r4	ERX1832249
10082.v15.st2.r2	ERX1832311
10082.v06.st3.r3	ERX1832203
10082.v06.st3.r2	ERX1832202
10082.v14.st2.r1	ERX1832298
10082.v10.st1.r1	ERX1832246
10082.v14.st2.r3	ERX1832300
10082.v14.st2.r2	ERX1832299
10082.v17.st1.r1	ERX1832336
10082.v13.st2.r1	ERX1832286
10082.v17.st1.r3	ERX1832338
10082.v17.st1.r2	ERX1832337
10082.v13.st2.r4	ERX1832289
10082.v18.st2.r3	ERX1832354
10082.v18.st2.r2	ERX1832353
10082.v16.st1.r2	ERX1832319
10082.v07.st1.r2	ERX1832206
10082.v07.st1.r3	ERX1832207
10082.v07.st1.r4	ERX1832208
10082.v18.st2.r4	ERX1832355
10082.v16.st1.sv53um.r1	ERX1832325
10082.v16.st1.sv53um.r2	ERX1832326
10082.v16.st1.sv53um.r3	ERX1832327
10082.v15.st2.r4	ERX1832313
10082.v10.st3.r3	ERX1832256
10082.v15.st1.r4	ERX1832309
10082.v10.st3.r1	ERX1832254
10082.v02.st3.r3	ERX1832155
10082.v11.st3.r1	ERX1832266
10082.v04.st2.r1	ERX1832173
10082.v03.st1.r4	ERX1832160
10082.v08.st2.r1	ERX1832226
10082.v08.st2.r2	ERX1832227
10082.v08.st2.r3	ERX1832228
10082.v08.st2.r4	ERX1832229
10082.v11.st3.r3	ERX1832268
10082.v03.st1.r2	ERX1832158
10082.v03.st1.r3	ERX1832159
10082.v04.st1.r1	ERX1832169
10082.v04.st1.r3	ERX1832171
10082.v04.st2.r3	ERX1832175
10082.v04.st1.r4	ERX1832172
10082.v09.st1.r2	ERX1832235
10082.v19.st3.r4	ERX1832371
10082.v09.st1.r1	ERX1832234
10082.v19.st3.r1	ERX1832368
10082.v19.st3.r3	ERX1832370
10082.v19.st3.r2	ERX1832369
10082.v15.st2.r3	ERX1832312
10082.v01.st2.r2	ERX1832138
10082.v01.st2.r1	ERX1832137
10082.v01.st1.r1	ERX1832133
10082.v01.st1.r4	ERX1832136
10082.v01.st2.r4	ERX1832140
10082.v12.st3.r4	ERX1832281
10082.v12.st1.r2	ERX1832271
10082.v12.st3.r1	ERX1832278
10082.v12.st3.r2	ERX1832279
10082.v12.st3.r3	ERX1832280
10082.v08.st1.r4	ERX1832225
10082.v08.st1.r1	ERX1832222
10082.v08.st1.r3	ERX1832224
10082.v08.st1.r2	ERX1832223
