sample_name	experiment_accession
846.Fagna24102011Soil12B4	ERX1826143
846.Fagna24102011Soil4C4	ERX1826183
846.Fagna24102011Soil12B2	ERX1826141
846.Fagna24102011Soil14A4	ERX1826151
846.Fagna24102011Soil4A1	ERX1826172
846.Fagna24102011Soil4A2	ERX1826173
846.Fagna24102011Soil4A3	ERX1826174
846.Fagna24102011Soil4C2	ERX1826181
846.Fagna24102011Soil4C3	ERX1826182
846.Fagna24102011Soil4C1	ERX1826180
846.Fagna24102011Soil14B1	ERX1826152
846.Fagna24102011Soil14B3	ERX1826154
846.Fagna24102011Soil14B2	ERX1826153
846.Fagna24102011Soil14B4	ERX1826155
846.Fagna24102011Soil15C3	ERX1826170
846.Fagna24102011Soil15C2	ERX1826169
846.Fagna24102011Soil4B3	ERX1826178
846.Fagna24102011Soil4B2	ERX1826177
846.Fagna24102011Soil12B3	ERX1826142
846.Fagna24102011Soil4B4	ERX1826179
846.Fagna24102011Soil12B1	ERX1826140
846.Fagna24102011Soil15C4	ERX1826171
846.Fagna24102011Soil12A2	ERX1826137
846.Fagna24102011Soil12A4	ERX1826139
846.Fagna24102011Soil15A4	ERX1826163
846.Fagna24102011Soil14A2	ERX1826149
846.Fagna24102011Soil14A3	ERX1826150
846.Fagna24102011Soil15A1	ERX1826160
846.Fagna24102011Soil15A3	ERX1826162
846.Fagna24102011Soil15A2	ERX1826161
846.Fagna24102011Soil14C2	ERX1826157
846.Fagna24102011Soil14C3	ERX1826158
846.Fagna24102011Soil14C1	ERX1826156
846.Fagna24102011Soil14C4	ERX1826159
846.Fagna24102011Soil12C1	ERX1826144
846.Fagna24102011Soil12C2	ERX1826145
846.Fagna24102011Soil12C3	ERX1826146
846.Fagna24102011Soil12C4	ERX1826147
846.Fagna24102011Soil14A1	ERX1826148
846.Fagna24102011Soil15B4	ERX1826167
846.Fagna24102011Soil12A3	ERX1826138
846.Fagna24102011Soil12A1	ERX1826136
846.Fagna24102011Soil15B1	ERX1826164
846.Fagna24102011Soil15B2	ERX1826165
846.Fagna24102011Soil15B3	ERX1826166
846.Fagna24102011Soil4B1	ERX1826176
846.Fagna24102011Soil4A4	ERX1826175
846.Fagna24102011Soil15C1	ERX1826168
