sample_name	experiment_accession
1684.59.HB.RightPalm	ERX1845414
1684.UT15.51a	ERX1845422
1684.56.CA.RightBackPaw	ERX1845403
1684.FL3.36a.3	ERX1845416
1684.59.HA.Mouth	ERX1845408
1684.59.HA.RightPalm	ERX1845409
1684.56.CA.Forehead	ERX1845400
1684.59.HB.Mouth	ERX1845413
1684.59.HA.Forehead	ERX1845406
1684.FL3.37a.3	ERX1845419
1684.FL3.37a.2	ERX1845418
1684.FL3.37a.1	ERX1845417
1684.59.HA.LeftPalm	ERX1845407
1684.59.HB.LeftPalm	ERX1845412
1684.56.CA.Mouth	ERX1845402
1684.UT15.52a	ERX1845423
1684.56.CA.LeftBackPaw	ERX1845401
1684.59.HB.Stool	ERX1845415
1684.59.HB.Forehead	ERX1845411
1684.56.CA.RightFrontPaw	ERX1845404
1684.HI20.58e.3	ERX1845421
1684.HI20.58e.2	ERX1845420
1684.56.CA.Stool	ERX1845405
1684.59.HA.Stool	ERX1845410
