sample_name	experiment_accession
659.NZFACE.R5.warm	ERX1708482
659.NZFACE.R3.warm	ERX1708474
659.NZFACE.R6.Ryegrass	ERX1708484
659.NZFACE.R5.control	ERX1708481
659.NZFACE.R5.Browntop	ERX1708479
659.NZFACE.R1.Ryegrass.26.4	ERX1708464
659.NZFACE.R5.Ryegrass	ERX1708480
659.NZFACE.R4.warm	ERX1708478
659.NZFACE.R6.Browntop	ERX1708483
659.NZFACE.R1.Browntop	ERX1708463
659.NZFACE.R2.control.23.4	ERX1708469
659.NZFACE.R4.Browntop	ERX1708475
659.NZFACE.R1.control.19.4	ERX1708465
659.NZFACE.R2.Ryegrass.24.4	ERX1708468
659.NZFACE.R3.Ryegrass.19.7	ERX1708472
659.NZFACE.R4.Ryegrass.16.4	ERX1708476
659.NZFACE.R1.warm	ERX1708466
659.NZFACE.R6.control	ERX1708485
659.NZFACE.R2.warm	ERX1708470
659.NZFACE.R4.control.19.8	ERX1708477
659.NZFACE.R2.Browntop	ERX1708467
659.NZFACE.R3.control.19.4	ERX1708473
659.NZFACE.R3.Browntop	ERX1708471
659.NZFACE.R6.warm	ERX1708486
