sample_name	experiment_accession
10156.T2.1	ERX1617178
10156.NW4.A	ERX1617176
10156.12	ERX1617007
10156.1S3.2	ERX1617029
10156.13	ERX1617008
10156.10	ERX1617005
10156.11	ERX1617006
10156.16	ERX1617012
10156.17	ERX1617013
10156.44.A	ERX1617104
10156.37	ERX1617075
10156.1C3.1	ERX1617023
10156.F1.2	ERX1617159
10156.F1.3	ERX1617160
10156.F1.1	ERX1617158
10156.NW2.A	ERX1617174
10156.F1.4	ERX1617161
10156.F1.5	ERX1617162
10156.1S3.1	ERX1617028
10156.56	ERX1617129
10156.54	ERX1617127
10156.55	ERX1617128
10156.52	ERX1617125
10156.53	ERX1617126
10156.50	ERX1617123
10156.51	ERX1617124
10156.T3.3	ERX1617186
10156.2B4	ERX1617050
10156.2B5	ERX1617051
10156.2B2	ERX1617048
10156.2B3	ERX1617049
10156.2B1	ERX1617047
10156.E1.3	ERX1617155
10156.E1.2	ERX1617154
10156.E1.1	ERX1617153
10156.2T3	ERX1617064
10156.2T4	ERX1617065
10156.NW5.A	ERX1617177
10156.E1.5	ERX1617157
10156.E1.4	ERX1617156
10156.41	ERX1617100
10156.40	ERX1617099
10156.43	ERX1617102
10156.42	ERX1617101
10156.45	ERX1617105
10156.44	ERX1617103
10156.47	ERX1617107
10156.46	ERX1617106
10156.49	ERX1617109
10156.48	ERX1617108
10156.2T5	ERX1617066
10156.1T5	ERX1617035
10156.27	ERX1617044
10156.26	ERX1617043
10156.25	ERX1617042
10156.2S5	ERX1617061
10156.2S4	ERX1617060
10156.2S1	ERX1617057
10156.2S3	ERX1617059
10156.2S2	ERX1617058
10156.34	ERX1617072
10156.56.A	ERX1617130
10156.36	ERX1617074
10156.4S4	ERX1617118
10156.4S3	ERX1617117
10156.31	ERX1617069
10156.4S1	ERX1617116
10156.33	ERX1617071
10156.38	ERX1617076
10156.39	ERX1617077
10156.NW1.A	ERX1617173
10156.N1.2	ERX1617164
10156.N1.3	ERX1617165
10156.N1.1	ERX1617163
10156.N1.4	ERX1617166
10156.N1.5	ERX1617167
10156.29	ERX1617046
10156.1T3	ERX1617033
10156.1T2	ERX1617032
10156.1T1	ERX1617031
10156.28	ERX1617045
10156.CBFSNW3	ERX1617152
10156.CBFSNW2	ERX1617151
10156.CBFSNW1	ERX1617150
10156.1T4	ERX1617034
10156.BCWL3.3	ERX1617143
10156.BCWL3.2	ERX1617142
10156.BCWL3.1	ERX1617141
10156.24	ERX1617041
10156.23	ERX1617040
10156.22	ERX1617039
10156.21	ERX1617038
10156.20	ERX1617037
10156.2C5	ERX1617056
10156.2C4	ERX1617055
10156.2C1	ERX1617052
10156.2C3	ERX1617054
10156.2C2	ERX1617053
10156.BCWL1.1	ERX1617135
10156.BCWL1.3	ERX1617137
10156.BCWL1.2	ERX1617136
10156.4C3	ERX1617114
10156.4C2	ERX1617113
10156.35	ERX1617073
10156.3C1	ERX1617083
10156.3S4	ERX1617091
10156.3S5	ERX1617092
10156.T2.5	ERX1617182
10156.T2.4	ERX1617181
10156.T2.3	ERX1617180
10156.T2.2	ERX1617179
10156.3S2	ERX1617089
10156.3S3	ERX1617090
10156.1B1	ERX1617016
10156.30	ERX1617068
10156.1B3	ERX1617018
10156.1B2	ERX1617017
10156.1B5	ERX1617020
10156.1B4	ERX1617019
10156.14	ERX1617009
10156.15	ERX1617010
10156.3B3	ERX1617080
10156.3B2	ERX1617079
10156.3B1	ERX1617078
10156.1C3.2	ERX1617024
10156.32	ERX1617070
10156.3B5	ERX1617082
10156.3B4	ERX1617081
10156.T3.2	ERX1617185
10156.4B1	ERX1617110
10156.4B2	ERX1617111
10156.T3.1	ERX1617184
10156.T3.6	ERX1617189
10156.4B5	ERX1617112
10156.T3.4	ERX1617187
10156.T3.5	ERX1617188
10156.T6.3	ERX1617192
10156.T6.2	ERX1617191
10156.T6.1	ERX1617190
10156.T6.6	ERX1617195
10156.T6.5	ERX1617194
10156.T6.4	ERX1617193
10156.N2.5	ERX1617172
10156.N2.4	ERX1617171
10156.1S1	ERX1617026
10156.N2.1	ERX1617168
10156.N2.3	ERX1617170
10156.N2.2	ERX1617169
10156.NW3.A	ERX1617175
10156.BCWL4.1	ERX1617144
10156.BCWL4.2	ERX1617145
10156.BCWL4.3	ERX1617146
10156.2T1	ERX1617062
10156.1C2	ERX1617022
10156.4T4	ERX1617121
10156.1C1	ERX1617021
10156.4T2	ERX1617120
10156.2T2	ERX1617063
10156.1C4	ERX1617025
10156.4T1	ERX1617119
10156.3T1	ERX1617093
10156.3C5	ERX1617087
10156.3T3	ERX1617095
10156.3T2	ERX1617094
10156.BCWL2.2	ERX1617139
10156.BCWL2.3	ERX1617140
10156.3C2	ERX1617084
10156.BCWL2.1	ERX1617138
10156.BCWL5.1	ERX1617147
10156.BCWL5.3	ERX1617149
10156.BCWL5.2	ERX1617148
10156.3	ERX1617067
10156.3C4	ERX1617086
10156.152b	ERX1617011
10156.3T5	ERX1617097
10156.3T4	ERX1617096
10156.T2.6	ERX1617183
10156.1S2	ERX1617027
10156.4C4	ERX1617115
10156.3C3	ERX1617085
10156.18	ERX1617014
10156.1S4	ERX1617030
10156.1	ERX1617004
10156.2	ERX1617036
10156.19	ERX1617015
10156.4	ERX1617098
10156.5	ERX1617122
10156.6	ERX1617131
10156.7	ERX1617132
10156.8	ERX1617133
10156.9	ERX1617134
10156.3S1	ERX1617088
