sample_name	experiment_accession
1721.B4B	ERX1664663
1721.S12T	ERX1664808
1721.S21T	ERX1664838
1721.S29M	ERX1664860
1721.S29B	ERX1664859
1721.R24M	ERX1664759
1721.B30M	ERX1664658
1721.B4M	ERX1664664
1721.S21B	ERX1664836
1721.S12B	ERX1664806
1721.B4T	ERX1664665
1721.S12M	ERX1664807
1721.S29T	ERX1664861
1721.S21M	ERX1664837
1721.BMC.7.1T.26.3	ERX1664686
1721.S9M	ERX1664887
1721.S3B	ERX1664868
1721.R23T	ERX1664757
1721.BMC.8.1T.11.2	ERX1664700
1721.BMC.8.1T.11.3	ERX1664701
1721.BMC.8.1T.11.1	ERX1664699
1721.R13B	ERX1664723
1721.R16B	ERX1664732
1721.R23B	ERX1664755
1721.B2B	ERX1664654
1721.R13T	ERX1664725
1721.R23M	ERX1664756
1721.S9T	ERX1664888
1721.R24B	ERX1664758
1721.R28T	ERX1664772
1721.S28M	ERX1664857
1721.S20T	ERX1664835
1721.S5B	ERX1664874
1721.S5M	ERX1664875
1721.R16T	ERX1664734
1721.S28B	ERX1664856
1721.BMC.8.5T.23.1	ERX1664711
1721.B5M	ERX1664667
1721.BMC.8.5T.23.3	ERX1664713
1721.BMC.8.5T.23.2	ERX1664712
1721.S5T	ERX1664876
1721.S13M	ERX1664810
1721.S20B	ERX1664833
1721.R28B	ERX1664770
1721.B23M	ERX1664637
1721.B12B	ERX1664612
1721.R1T	ERX1664746
1721.R28M	ERX1664771
1721.S20M	ERX1664834
1721.S13B	ERX1664809
1721.S7T	ERX1664882
1721.B17B	ERX1664621
1721.B27T	ERX1664650
1721.S2T	ERX1664864
1721.R8B	ERX1664795
1721.R12M	ERX1664721
1721.R12B	ERX1664720
1721.R8M	ERX1664796
1721.SBT1	ERX1664893
1721.B17M	ERX1664622
1721.SBT2	ERX1664894
1721.S2B	ERX1664862
1721.R20M	ERX1664748
1721.SBM2	ERX1664892
1721.B27B	ERX1664648
1721.SBM1	ERX1664891
1721.B27M	ERX1664649
1721.R21B	ERX1664749
1721.R20B	ERX1664747
1721.S2M	ERX1664863
1721.R12T	ERX1664722
1721.B21M	ERX1664634
1721.B18M	ERX1664625
1721.S14T	ERX1664814
1721.B24B	ERX1664639
1721.R2B	ERX1664776
1721.R2M	ERX1664777
1721.B23T	ERX1664638
1721.B19B	ERX1664627
1721.B6T	ERX1664671
1721.R15T	ERX1664731
1721.B21B	ERX1664633
1721.R9M	ERX1664798
1721.S14B	ERX1664812
1721.R15M	ERX1664730
1721.R15B	ERX1664729
1721.B21T	ERX1664635
1721.B19T	ERX1664629
1721.S14M	ERX1664813
1721.B9T	ERX1664680
1721.R25B	ERX1664761
1721.R5T	ERX1664788
1721.S23M	ERX1664843
1721.B12M	ERX1664613
1721.S23B	ERX1664842
1721.B25T	ERX1664644
1721.R25M	ERX1664762
1721.B12T	ERX1664614
1721.R25T	ERX1664763
1721.B9B	ERX1664678
1721.B24M	ERX1664640
1721.B9M	ERX1664679
1721.S7B	ERX1664880
1721.B20T	ERX1664632
1721.R5M	ERX1664787
1721.B23B	ERX1664636
1721.R3B	ERX1664781
1721.S15T	ERX1664817
1721.S22T	ERX1664841
1721.B7B	ERX1664672
1721.B26M	ERX1664646
1721.R13M	ERX1664724
1721.B26B	ERX1664645
1721.B7M	ERX1664673
1721.R14T	ERX1664728
1721.R3M	ERX1664782
1721.B7T	ERX1664674
1721.B30T	ERX1664659
1721.R14M	ERX1664727
1721.S22B	ERX1664839
1721.R3T	ERX1664783
1721.S15B	ERX1664815
1721.S15M	ERX1664816
1721.B18T	ERX1664626
1721.S22M	ERX1664840
1721.R14B	ERX1664726
1721.B26T	ERX1664647
1721.R27B	ERX1664767
1721.R22T	ERX1664754
1721.B25M	ERX1664643
1721.S8M	ERX1664884
1721.B11B	ERX1664609
1721.R30B	ERX1664778
1721.B29B	ERX1664651
1721.B29M	ERX1664652
1721.R30M	ERX1664779
1721.S3T	ERX1664870
